Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Usage Summary,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
18,00618760530,P,2020121,UK Concerts and Stage Shows 2019,Concerts, ,Active,3.86,16.67,18/11/2019,18/11/2019,Waterfront  Norwich  Nr1 1qh  , ,7811812669, ,120,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
19,00618760530,P,2020121,USA (BMI) Online,Overseas, ,Active,.03,16.67,31/12/2019,31/03/2020,INTERNET, ,, ,0,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
20,00618760530,P,2020121,Canadian (SOCAN) General & Broadcasting,Overseas, ,Alice,.01,20,01/10/2019,31/12/2019,APPLE MUSIC BEATS, ,, ,0,Bolander Victor Gustav,Chater Alice Victoria Rose,Furner Rachel Clare,Manderson Stephen,376286KR, ,376286KR, , , , , , , , 
21,00618760530,P,2020121,Canadian (SOCAN) General & Broadcasting,Overseas, ,Alice,.01,20,01/10/2019,31/12/2019,SPOTIFY, ,, ,0,Bolander Victor Gustav,Chater Alice Victoria Rose,Furner Rachel Clare,Manderson Stephen,376286KR, ,376286KR, , , , , , , , 
22,00618760530,P,2020121,Irish (IMRO) General,Overseas, ,Are You Getting Enough?,.01,16.67,01/07/2012,01/12/2017,C - AER LINGUS, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
23,00618760530,P,2020121,Irish (IMRO) General,Overseas, ,Are You Getting Enough?,.15,16.67,01/07/2012,01/12/2017,C - AER LINGUS, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
24,00618760530,P,2020121,Irish (IMRO) General,Overseas, ,Are You Getting Enough?,.01,16.67,01/07/2012,01/12/2017,F - AER LINGUS, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
25,00618760530,P,2020121,Japanese (JASRAC) Online,Overseas, ,Are You Getting Enough?,.01,16.67,01/04/2019,30/06/2020,LINE MUSIC(SUBSCRIPTION), ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
26,00618760530,P,2020121,Japanese (JASRAC) Online,Overseas, ,Are You Getting Enough?,.01,16.67,01/04/2019,30/06/2020,LINE MUSIC(SUBSCRIPTION), ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
27,00618760530,P,2020121,Japanese (JASRAC) Online,Overseas, ,Are You Getting Enough?,.01,16.67,01/04/2019,30/06/2020,LINE MUSIC(SUBSCRIPTION), ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
28,00618760530,P,2020121,Jukeboxes Soundnet,Other Featured Recorded, ,Are You Getting Enough?,.16,16.67,01/09/2020,30/09/2020, ,Jukeboxes Soundnet,,00000316,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
29,00618760530,P,2020121,Romanian (UCMR-ADA) General & Broadcasting,Overseas, ,Are You Getting Enough?,.01,16.67,01/01/2020,01/06/2020, , ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
30,00618760530,P,2020121,SIAE Tax Refund,Overseas, ,Are You Getting Enough?,.2,16.67,01/07/2018,31/12/2018,Junior Bake Off  , ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
31,00618760530,P,2020121,Slovakian (SOZA) General & Broadcasting,Overseas, ,Are You Getting Enough?,.1,16.67,01/01/2019,31/12/2019,CABLE RETRANSMISSION, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
32,00618760530,P,2020121,Slovakian (SOZA) General & Broadcasting,Overseas, ,Are You Getting Enough?,.12,16.67,01/01/2019,31/12/2019,RTVS - RADIO FM, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
33,00618760530,P,2020121,Slovakian (SOZA) General & Broadcasting,Overseas, ,Are You Getting Enough?,.96,16.67,01/01/2019,31/12/2019,RTVS - RADIO FM, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
34,00618760530,P,2020121,Swedish (STIM) Online,Overseas, ,Are You Getting Enough?,.07,16.67,01/01/2016,31/12/2019,SVT PLAY, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
35,00618760530,P,2020121,Swiss (SUISA) Private Copying,Overseas, ,Are You Getting Enough?,.27,16.67,01/01/2013,31/12/2019,RADIO FREIBURG, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
36,00618760530,P,2020121,Taiwan (MUST) Online,Overseas, ,Are You Getting Enough?,.02,16.67,01/01/2013,31/12/2013,KKBOX, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
37,00618760530,P,2020121,Taiwan (MUST) Online,Overseas, ,Are You Getting Enough?,.04,16.67,01/01/2014,31/12/2014,KKBOX, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
38,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,Astronaut,.01,5,01/01/2020,31/03/2020,SS AU-APPLE MUSIC [INDIVIDUAL], ,, ,0,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
39,00618760530,P,2020121,French (SACEM) Additionals,Overseas, ,Astronaut,10.62,5,01/08/2020,30/09/2020, , ,, ,0,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
40,00618760530,P,2020121,Irish (IMRO) General,Overseas, ,Astronaut,.03,5,01/07/2012,01/12/2017,A - AER LINGUS, ,, ,0,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
41,00618760530,P,2020121,Irish (IMRO) General,Overseas, ,Astronaut,.02,5,01/07/2012,01/12/2017,B - AER LINGUS, ,, ,0,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
42,00618760530,P,2020121,Taiwan (MUST) Online,Overseas, ,Astronaut,.02,5,01/01/2012,31/12/2012,KKBOX, ,, ,0,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
43,00618760530,P,2020121,UK Concerts and Stage Shows 2019,Concerts, ,Astronaut,1.16,5,18/11/2019,18/11/2019,Waterfront  Norwich  Nr1 1qh  , ,7811812669, ,120,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
44,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.04,25,01/01/2020,31/03/2020,SS AU-APPLE MUSIC [INDIVIDUAL], ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
45,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.01,25,01/01/2020,31/03/2020,SS AU-SPOTIFY [INDIVIDUAL], ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
46,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.01,25,01/01/2020,31/03/2020,SS AU-SPOTIFY [INDIVIDUAL], ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
47,00618760530,P,2020121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.02,25,01/01/2020,31/03/2020,SS AU-SPOTIFY [INDIVIDUAL], ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
48,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
49,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,4.09,25,28/08/2020,05/10/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
50,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,28/08/2020,05/10/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
51,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,2.97,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
52,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
53,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
54,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
55,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.03,25,28/08/2020,05/10/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
56,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,28/08/2020,05/10/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
57,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.04,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
58,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,28/08/2020,05/10/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
59,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.02,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
60,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.02,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
61,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,28/08/2020,05/10/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
62,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
63,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,28/08/2020,05/10/2020,APPLE MUSIC, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
64,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,DEEZER, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
65,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.14,25,28/08/2020,05/10/2020,DEEZER, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
66,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.12,25,25/05/2020,06/07/2020,DEEZER, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
67,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.25,25,28/08/2020,05/10/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
68,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,28/08/2020,05/10/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
69,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.05,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
70,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.18,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
71,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.05,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
72,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.07,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
73,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.03,25,28/08/2020,05/10/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
74,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
75,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.06,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
76,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
77,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.04,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
78,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.52,25,28/08/2020,05/10/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
79,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
80,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.05,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
81,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.05,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
82,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
83,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.34,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
84,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.22,25,28/08/2020,05/10/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
85,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.02,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
86,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.19,25,25/05/2020,06/07/2020,GOOGLE, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
87,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,SPOTIFY, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
88,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.69,25,25/05/2020,06/07/2020,SPOTIFY, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
89,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.02,25,25/05/2020,06/07/2020,SPOTIFY, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
90,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.04,25,28/08/2020,05/10/2020,SPOTIFY, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
91,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.01,25,25/05/2020,06/07/2020,SPOTIFY, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
92,00618760530,P,2020121,French (SACEM) PEL,Online, ,At Your Inconvenience,.03,25,25/05/2020,06/07/2020,SPOTIFY, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
