,Third Party,Source,2016 H2,2017 H2,2018 H2,Total,2019 H2,2020 H2,% Of Revenue,Cumulative %
98,PPL,Stray FM (97.2),1.61,6.7,2.43,17.23,4.73,1.76,0.03%,98.82%
99,PPL,UKRD Past Fees,,,,15.92,15.92,,0.03%,98.85%
100,PPL,BBC Radio Oxford,9.18,5.99,,15.17,,,0.03%,98.88%
101,PPL,BBC Radio Bristol,11.6,3.45,,15.05,,,0.03%,98.9%
102,PPL,BBC Radio Coventry & Warwickshire,9.54,5.02,,14.56,,,0.02%,98.93%
103,PPL,Minster FM,1.32,1.63,6.79,14.47,3.63,1.1,0.02%,98.95%
104,PPL,Immedia Broadcasting Plc - SUPERDRUG,,14.17,,14.17,,,0.02%,98.97%
105,PPL,Home - TV,,7.73,5.18,14.11,1.2,,0.02%,99.0%
106,PPL,Yorkshire Coast Radio (96.2),1.35,3.38,5.91,14.05,2.93,0.48,0.02%,99.02%
107,PPL,BBC Radio Bedfordshire,,13.91,,13.91,,,0.02%,99.04%
108,PPL,KLFM (96.7),1.14,2.7,6.8,13.87,2.37,0.86,0.02%,99.07%
109,PPL,Watch - TV,5.67,7.6,0.42,13.69,,,0.02%,99.09%
110,PPL,BBC Radio Gloucestershire,13.59,,,13.59,,,0.02%,99.11%
111,PPL,Manx Radio (97.2),1.68,4.73,1.65,12.81,2.71,2.04,0.02%,99.13%
112,PPL,UTV Radio Simulcast,3.77,8.86,,12.63,,,0.02%,99.15%
113,PPL,Compass FM (96.4),1.43,3.28,3.04,12.46,2.92,1.79,0.02%,99.18%
114,PPL,Other Commercial Television - TV,2.08,,1.03,11.65,2.18,6.36,0.02%,99.2%
115,PPL,BBC Radio Northampton,11.35,,,11.35,,,0.02%,99.21%
116,PPL,BBC Radio Somerset,6.79,4.39,,11.18,,,0.02%,99.23%
117,PPL,Wireless Radio Simulcast,,,8.02,10.9,2.13,0.75,0.02%,99.25%
118,PPL,Other Independent Local Radio,2.84,,4.51,10.5,3.15,,0.02%,99.27%
119,PPL,Wessex FM (97.2),0.79,2.45,3.47,10.05,2.51,0.83,0.02%,99.29%
120,PPL,Spirit FM (96.6),0.72,3.3,2.19,9.84,2.72,0.91,0.02%,99.3%
121,PPL,Signal 2 (1170),,9.66,,9.66,,,0.02%,99.32%
122,PPL,BBC Radio Cleveland,,9.52,,9.52,,,0.02%,99.33%
123,PPL,Channel 103,,,,9.49,7.64,1.85,0.02%,99.35%
124,PPL,Global Radio Past Fees,,,,9.4,9.4,,0.02%,99.37%
125,PPL,BBC World Service,,,4.49,9.16,,4.67,0.02%,99.38%
126,PPL,BBC Radio Northamptonshire,,9.0,,9.0,,,0.02%,99.4%
127,PPL,Absolute 80s,0.57,4.06,,8.73,1.21,2.89,0.01%,99.41%
128,PPL,Mix FM 96,0.73,1.74,2.69,8.18,2.07,0.95,0.01%,99.42%
129,PPL,Sky Barkers - TV,7.99,,,7.99,,,0.01%,99.44%
130,PPL,Insight Radio Webcast,1.41,0.6,1.76,7.57,1.7,2.1,0.01%,99.45%
131,PPL,BBC Radio Tees,7.24,,,7.24,,,0.01%,99.46%
132,PPL,The Bay (96.9),1.8,5.14,,6.94,,,0.01%,99.47%
133,PPL,Radio Exe,0.41,0.53,1.82,6.93,2.96,1.21,0.01%,99.49%
134,PPL,Good Food - TV,2.86,1.64,2.15,6.87,0.22,,0.01%,99.5%
135,PPL,BBC Radio Cymru (inc. Cymru 2),,,1.96,6.79,2.35,2.48,0.01%,99.51%
136,PPL,Sky Sports News - TV,,,,6.69,6.69,,0.01%,99.52%
137,PPL,Wave Webstreaming,,,3.74,6.67,2.93,,0.01%,99.53%
138,PPL,Signal 1 (102.6),,6.56,,6.56,,,0.01%,99.54%
139,PPL,Time FM 107.5,0.7,,1.94,6.54,1.89,2.01,0.01%,99.55%
140,PPL,Radio Plymouth (106.7),0.77,0.56,2.57,6.35,2.14,0.31,0.01%,99.56%
141,PPL,Speciality Radio Grouping,1.68,1.1,,6.28,2.25,1.25,0.01%,99.57%
142,PPL,Sussex Oldies,,6.16,,6.16,,,0.01%,99.58%
143,PPL,Island FM (104.7),,4.0,,6.12,0.33,1.79,0.01%,99.59%
144,PPL,Immedia Broadcasting Plc - HSBC,,6.11,,6.11,,,0.01%,99.6%
145,PPL,Sky Movies Channels - TV,,,5.96,5.96,,,0.01%,99.61%
146,PPL,Sky Cinema Channels - TV,,,5.96,5.96,,,0.01%,99.62%
147,PPL,North Yorkshire Oldies,,5.82,,5.82,,,0.01%,99.63%
148,PPL,BBC Radio Jersey,3.62,1.89,,5.51,,,0.01%,99.64%
149,PPL,Dream 100,4.49,0.99,,5.48,,,0.01%,99.65%
150,PPL,Ridings FM (106.8),,,1.37,5.46,2.19,1.9,0.01%,99.66%
151,PPL,Spire FM (102),0.66,1.42,1.3,5.38,1.3,0.7,0.01%,99.67%
152,PPL,BBC Radio Gloucester,,5.3,,5.3,,,0.01%,99.68%
153,PPL,Fubar Radio,,,1.6,5.27,3.67,,0.01%,99.69%
154,PPL,Sky Sports Premier League - TV,,,,5.24,5.24,,0.01%,99.7%
155,PPL,2BR,1.24,1.23,2.32,4.79,,,0.01%,99.71%
156,PPL,BBC  World Service,2.24,2.41,,4.65,,,0.01%,99.71%
157,PPL,Original 106,0.66,2.58,0.7,4.53,0.41,0.18,0.01%,99.72%
158,PPL,Virgin Cable - TV,,,3.31,4.46,0.76,0.39,0.01%,99.73%
159,PPL,E4 - TV,1.49,,2.91,4.4,,,0.01%,99.74%
160,PPL,ITV Be - TV,,4.29,,4.29,,,0.01%,99.74%
161,PPL,HEADLAND - NARROWCASTING,0.98,,1.4,4.24,1.86,,0.01%,99.75%
162,PPL,Free Radio 80s Network,0.63,1.77,1.71,4.11,,,0.01%,99.76%
163,PPL,BBC Radio Guernsey,1.85,2.09,,3.94,,,0.01%,99.76%
164,PPL,Mansfield FM (103.2),0.29,0.85,1.03,3.83,0.95,0.71,0.01%,99.77%
165,PPL,Headland Entertainment Limited - Costcutter,,3.83,,3.83,,,0.01%,99.78%
166,PPL,Waves Radio (Peterhead),,0.21,1.16,3.68,2.31,,0.01%,99.78%
167,PPL,Encore Radio,1.18,,1.26,3.65,1.21,,0.01%,99.79%
168,PPL,Eagle Oldies,,3.62,,3.62,,,0.01%,99.79%
169,PPL,Eagle 80s,,,1.9,3.46,1.56,,0.01%,99.8%
170,PPL,Radio X (London),,3.44,,3.44,,,0.01%,99.81%
171,PPL,Virgin Barker - TV,,,2.02,3.42,1.13,0.27,0.01%,99.81%
172,PPL,Heart Extra,1.18,2.19,,3.37,,,0.01%,99.82%
173,PPL,BBC Radio Nan Gaidheal,0.34,,1.51,3.33,1.48,,0.01%,99.82%
174,PPL,Pulse FM (97.5),,3.28,,3.28,,,0.01%,99.83%
175,PPL,The Wave (96.4),,3.28,,3.28,,,0.01%,99.83%
176,PPL,Adventure Radio Network,,3.14,,3.14,,,0.01%,99.84%
177,PPL,BBC Radio Cymru,1.43,1.7,,3.13,,,0.01%,99.84%
178,PPL,Mellow Magic,0.31,0.03,0.48,3.02,1.71,0.49,0.01%,99.85%
179,PPL,Sid Valley Radio,,,0.81,2.98,2.17,,0.0%,99.85%
180,PPL,Q Radio Network,,0.28,,2.95,1.6,1.07,0.0%,99.86%
181,PPL,CFM Radio (96.4),0.99,1.93,,2.92,,,0.0%,99.86%
182,PPL,Radio Caroline Flashback,,,0.72,2.69,0.55,1.42,0.0%,99.87%
183,PPL,UTV Network 2,0.53,,,2.65,,2.12,0.0%,99.87%
184,PPL,ITV4 - TV,,2.54,,2.54,,,0.0%,99.88%
185,PPL,3FM,0.36,0.65,0.57,2.52,0.49,0.45,0.0%,99.88%
186,PPL,Sun FM (103.4),0.71,0.89,0.43,2.45,0.35,0.07,0.0%,99.89%
187,PPL,Falklands Radio,,,0.56,2.37,0.92,0.89,0.0%,99.89%
188,PPL,Nation Radio,,,0.99,2.21,0.65,0.57,0.0%,99.89%
189,PPL,Challenge - TV,,,,2.04,,2.04,0.0%,99.9%
190,PPL,Peak FM (107.4),,1.97,,1.97,,,0.0%,99.9%
191,PPL,Cyber Gold,,,0.34,1.83,0.89,0.6,0.0%,99.9%
192,PPL,Radio Wave (96.5),,1.79,,1.79,,,0.0%,99.91%
193,PPL,The Revolution (96.2),0.36,0.54,0.36,1.71,0.42,0.03,0.0%,99.91%
194,PPL,Dance Instruction,0.62,0.57,0.51,1.7,,,0.0%,99.91%
195,PPL,West Sound FM,0.31,1.03,0.23,1.68,0.11,,0.0%,99.91%
196,PPL,Tower FM (107.4),,1.67,,1.67,,,0.0%,99.92%
197,PPL,Touch FM Network,0.15,0.42,0.1,1.66,0.99,,0.0%,99.92%
198,PPL,Virgin Radio UK,,,,1.66,0.59,1.07,0.0%,99.92%
199,PPL,Planet Rock,0.51,,1.02,1.53,,,0.0%,99.93%
200,PPL,Headland Entertainment Limited - Topps Tiles,,1.51,,1.51,,,0.0%,99.93%
201,PPL,Free Radio Simulcast,,1.41,,1.41,,,0.0%,99.93%
202,PPL,Star Radio North East Network,0.08,1.25,,1.33,,,0.0%,99.93%
203,PPL,Noel Edmonds TA Communications Partnership,,1.26,,1.26,,,0.0%,99.93%
204,PPL,Radio Pembrokeshire (102.5),0.59,,0.21,1.23,0.35,0.08,0.0%,99.94%
205,PPL,The Wireless,,,0.38,1.21,0.83,,0.0%,99.94%
206,PPL,Union Jack,0.24,,0.39,1.19,0.12,0.44,0.0%,99.94%
207,PPL,Kingdom FM (95.2),0.09,,0.79,1.15,0.19,0.08,0.0%,99.94%
208,PPL,The Beach (103.4),,1.14,,1.14,,,0.0%,99.94%
209,PPL,Radio Aire (96.3),,,,1.11,,1.11,0.0%,99.95%
210,PPL,Town FM 102,,1.07,,1.07,,,0.0%,99.95%
211,PPL,Star Radio,0.39,0.68,,1.07,,,0.0%,99.95%
212,PPL,Norwich 99.9,,1.04,,1.04,,,0.0%,99.95%
213,PPL,Speciality Radio Grouping - New Media,,,1.04,1.04,,,0.0%,99.95%
214,PPL,Palm FM (105.5),1.0,,,1.0,,,0.0%,99.96%
215,PPL,Wish FM (102.4),,0.98,,0.98,,,0.0%,99.96%
216,PPL,Wire FM (107.2),,0.98,,0.98,,,0.0%,99.96%
217,PPL,Central FM (103.1),0.02,,0.25,0.92,0.06,0.59,0.0%,99.96%
218,PPL,Wave 102,0.42,0.43,,0.85,,,0.0%,99.96%
219,PPL,Lakeland Radio (100.1),0.18,0.66,,0.84,,,0.0%,99.96%
220,PPL,Local Television - TV,0.06,0.21,0.16,0.8,,0.37,0.0%,99.96%
221,PPL,Radionomy,0.78,,,0.78,,,0.0%,99.97%
222,PPL,Bridge FM (106.3),0.5,,0.02,0.75,0.17,0.06,0.0%,99.97%
223,PPL,High Peak Radio (106.4),0.53,,,0.75,0.22,,0.0%,99.97%
224,PPL,Scala Radio,,,,0.74,0.31,0.43,0.0%,99.97%
225,PPL,Absolute 70s,0.2,0.26,0.28,0.74,,,0.0%,99.97%
226,PPL,Moray Firth FM (97.4),0.12,0.59,,0.71,,,0.0%,99.97%
227,PPL,Global Radio Past Fees Simulcast,,,,0.71,0.71,,0.0%,99.97%
228,PPL,Radio Yorkshire,0.08,0.5,,0.58,,,0.0%,99.97%
229,PPL,UTV Network 1,0.57,,,0.57,,,0.0%,99.97%
230,PPL,North Norfolk Radio (103.2),,0.57,,0.57,,,0.0%,99.98%
231,PPL,Dearne FM (102),,,,0.56,,0.56,0.0%,99.98%
232,PPL,Radio Carmarthenshire (97.1),0.26,,0.06,0.56,0.19,0.05,0.0%,99.98%
233,PPL,Fosse 107,,,0.21,0.51,0.22,0.08,0.0%,99.98%
234,PPL,Radio X (Manchester),,0.49,,0.49,,,0.0%,99.98%
235,PPL,KCFM (99.8),,,,0.47,0.12,0.35,0.0%,99.98%
236,PPL,Fix Radio,0.11,,,0.47,,0.36,0.0%,99.98%
237,PPL,YOUR Radio (Dumbarton),,,0.32,0.47,0.02,0.13,0.0%,99.98%
238,PPL,Positively Radio,0.46,,,0.46,,,0.0%,99.98%
239,PPL,Bloomberg Radio,,,0.08,0.45,0.37,0.0,0.0%,99.98%
240,PPL,Signal 107,,0.44,,0.44,,,0.0%,99.98%
241,PPL,Other Commercial Televison - TV,,0.41,,0.41,,,0.0%,99.98%
242,PPL,Trax FM,,,,0.41,,0.41,0.0%,99.99%
243,PPL,Rother FM (96.1),,,,0.4,,0.4,0.0%,99.99%
244,PPL,80s Radio Stations,,,,0.36,0.33,0.03,0.0%,99.99%
245,PPL,Sam FM South (West),,,,0.34,0.05,0.29,0.0%,99.99%
246,PPL,Love 80s Liverpool,0.04,,0.29,0.33,,,0.0%,99.99%
247,PPL,Love 80s Manchester,0.04,,0.29,0.33,,,0.0%,99.99%
248,PPL,Radio Borders (102.3),0.11,0.2,,0.31,,,0.0%,99.99%
249,PPL,Swansea Bay Radio,0.17,,0.04,0.3,0.07,0.02,0.0%,99.99%
250,PPL,Share Radio,,0.29,,0.29,,,0.0%,99.99%
251,PPL,Box - TV,,,,0.29,,0.29,0.0%,99.99%
252,PPL,Rugby FM (107.1),0.03,0.06,0.02,0.28,0.17,,0.0%,99.99%
253,PPL,Like Radio,,,,0.28,0.28,,0.0%,99.99%
254,PPL,West FM (96.7),,,0.26,0.26,,,0.0%,99.99%
255,PPL,6 Towns Radio,0.03,0.08,0.15,0.26,,,0.0%,99.99%
256,PPL,Jack FM (Hertfordshire),0.09,0.16,,0.25,,,0.0%,99.99%
257,PPL,Fun Kids (Digital),,0.24,,0.24,,,0.0%,99.99%
258,PPL,Fosse 107 (Loughborough),0.22,,,0.22,,,0.0%,99.99%
259,PPL,Rutland Radio (97.4),,,,0.21,,0.21,0.0%,99.99%
260,PPL,Radio Ceredigion (103.3),0.08,,0.02,0.21,0.04,0.07,0.0%,99.99%
261,PPL,Dragon Radio,0.03,,,0.2,,0.17,0.0%,99.99%
262,PPL,Radio Caroline,,,,0.19,0.19,,0.0%,99.99%
263,PPL,The Wireless Webcast,,,0.19,0.19,,,0.0%,99.99%
264,PPL,Radionomy (Past Fees),,,,0.19,0.19,,0.0%,99.99%
265,PPL,Juice FM (107.2-Brighton),0.12,0.06,,0.18,,,0.0%,100.0%
266,PPL,Nation Radio Scotland,,,0.04,0.18,0.09,0.05,0.0%,100.0%
267,PPL,Golden Radio,0.18,,,0.18,,,0.0%,100.0%
268,PPL,Jack 3,,,,0.17,0.15,0.02,0.0%,100.0%
269,PPL,Last Pirate FM,0.17,,,0.17,,,0.0%,100.0%
270,PPL,The Bee (106),,0.16,,0.16,,,0.0%,100.0%
271,PPL,Banbury Sound,0.02,0.05,0.02,0.15,0.06,,0.0%,100.0%
272,PPL,totallyradio,,,0.13,0.13,,,0.0%,100.0%
273,PPL,Spectrum Radio AM (558),0.12,,,0.12,,,0.0%,100.0%
274,PPL,Original Aberdeen FM Limited,,,0.06,0.12,0.05,0.01,0.0%,100.0%
275,PPL,YOUR Radio (Helensburgh),,,0.11,0.11,,,0.0%,100.0%
276,PPL,Solar Broadcasting,0.1,,,0.1,,,0.0%,100.0%
277,PPL,fm 1 fm Radio,,,0.09,0.09,,,0.0%,100.0%
278,PPL,Upload Radio,,,0.09,0.09,,,0.0%,100.0%
279,PPL,Wave FM,,,,0.09,0.09,,0.0%,100.0%
280,PPL,GN Radio,,,0.08,0.08,,,0.0%,100.0%
281,PPL,Moray Firth AM (1107),0.08,,,0.08,,,0.0%,100.0%
282,PPL,Jack 2 Surrey,,0.08,,0.08,,,0.0%,100.0%
283,PPL,City Talk (105.9),0.01,0.06,,0.07,,,0.0%,100.0%
284,PPL,Cyber Hot Hits,,,0.07,0.07,,,0.0%,100.0%
285,PPL,Thames Radio,0.02,,0.05,0.07,,,0.0%,100.0%
286,PPL,Oak FM (Hinckley & Nuneaton),0.0,0.05,,0.05,,,0.0%,100.0%
287,PPL,ABN Radio,,,0.05,0.05,,,0.0%,100.0%
288,PPL,Sam FM South (Coast),,,,0.05,0.05,,0.0%,100.0%
289,PPL,Bob FM,,,0.04,0.04,,,0.0%,100.0%
290,PPL,Scottish Sun 80s,,,,0.04,,0.04,0.0%,100.0%
291,PPL,More Radio Eastbourne,,,0.03,0.03,,,0.0%,100.0%
292,PPL,SBL Sound,0.03,,,0.03,,,0.0%,100.0%
293,PPL,Ahomka Radio UK,0.02,,,0.02,,,0.0%,100.0%
294,PPL,Fresh Air - University Of Edinburgh,0.02,,,0.02,,,0.0%,100.0%
295,PPL,Bauer Radio,0.02,,,0.02,,,0.0%,100.0%
296,PPL,Cowbell Radio,0.02,,,0.02,,,0.0%,100.0%
297,PPL,Classical 1,,,,0.02,,0.02,0.0%,100.0%
298,PPL,Affinity Radio,0.02,,,0.02,,,0.0%,100.0%
299,PPL,CFM West Cumbria (102.5),0.02,,,0.02,,,0.0%,100.0%
300,PPL,Fun Kids Junior,,,,0.01,,0.01,0.0%,100.0%
301,PPL,Cyber Rock,,,0.0,0.01,0.01,0.0,0.0%,100.0%
302,PPL,Virgin Radio Chilled,,,,0.01,0.01,,0.0%,100.0%
303,PPL,Nation Radio (London),,,0.01,0.01,,,0.0%,100.0%
304,PPL,Sam FM (Swindon),,,,0.01,0.01,,0.0%,100.0%
305,PPL,Northallerton FM (102.3),0.01,,,0.01,,,0.0%,100.0%
306,PPL,Virgin Radio Anthems,,,,0.01,0.01,,0.0%,100.0%
307,PPL,Jango.com,,,0.0,0.0,0.0,,0.0%,100.0%
308,,Total,7477.22,14008.0,14302.21,59780.45,13655.49,10337.53,,
