Asset Title,Asset Version,Asset Artist,Asset ISRC,Asset Duration,Product Title,Product Version,Product Artist,Product UPC,Product Catalog Number,Product Label,Currency,Sale Net Receipts,Reported Royalty
Score,,Mori Briscoe featuring Milo Floxks,QZMWW2068449,109,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1635610164076301822,0.1472049147237843151
Shake It,,Mori Briscoe featuring Nick Blixky,QZMWW2068450,152,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.4462230410478424595,0.4016007368920673919
Get Back,,Mori Briscoe featuring Niko Blixky,QZMWW2068451,151,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1721624784430882814,0.1549462304526137555
In The Spot,,Mori Briscoe featuring Milo Floxks,QZMWW2068452,150,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1800476219948232063,0.1620428596838933929
Differences,,Mori Briscoe featuring Stain Blixky,QZMWW2068453,165,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1190078993059664764,0.1071071093155576921
UK Flow,,Mori Briscoe,QZMWW2068454,108,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,0.1477402734584700738,0.132966245816645232
The Real Me Intro,,Mori Briscoe,QZNMV2010195,138,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0,0
For Nick,,Mori Briscoe,QZNMV2010196,173,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.0068328747,0.0061495872
Timing,,Mori Briscoe featuring Rozay Blixky,QZNMV2010197,190,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.0047843103,0.0043058793
Murda,,Mori Briscoe,QZNMV2010198,108,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.0766231255,0.068960813
GraveDiggers,,Mori Briscoe featuring Jahh Floxk,QZNMV2010199,153,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.0161337929,0.0145204136
We Outside,,Mori Briscoe featuring Jewelia,QZNMV2010200,202,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.0210206832,0.0189186148
Revival,,Mori Briscoe featuring Milo Floxks and Breezy Blixky,QZNMV2010201,210,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.0187936504,0.0169142853
Backends,,Mori Briscoe featuring Jahh Floxk,QZNMV2010202,183,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.002302921,0.0020726289
Nina Part 2,,Mori Briscoe featuring Chris Elite,QZNMV2010203,112,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.016745086,0.0150705774
Floxk 2 Live,,Mori Briscoe,QZNMV2010204,108,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0.0346597407,0.0311937666
Street Niggas,,Mori Briscoe,QZNMV2010205,127,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0,0
PTSD,,Mori Briscoe,QZNMV2010206,127,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0,0
Old Days,,Mori Briscoe,QZNMV2010207,120,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0,0
BG4L,,Mori Briscoe,QZNMV2010208,146,The Real Me,,Mori Briscoe,195833541780,195833541780,BlixkyGangEnt.,USD,0,0
Love Songs Part 2,,Mori Briscoe,QZNMV2156367,121,Love Songs Part 2,,Mori Briscoe,196022535832,196022535832,Mori Briscoe,USD,0.1959009602778903177,0.1763108640988416565
Outside,,Mori Briscoe,QZNMV2173429,120,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,1.1227278627029338802,1.0104550762655924022
Both Ways,,Mori Briscoe featuring Vine Shotz,QZNMV2173430,138,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,0.6568056066911476311,0.5911250461018984641
Woo K Pt. 2,,Mori Briscoe featuring Niko Blixky and Vine Shotz,QZNMV2173431,132,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,1.178656254403273811,1.0607906287331602677
Looted Up,,Mori Briscoe featuring Wal Blixk and Vine Shotz,QZNMV2173432,152,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,0.5599706297346884782,0.5039735664401203793
FnoK,,"Mori Briscoe featuring Wal Blixk, Chris Elite and M.I.S Ron",QZNMV2173433,157,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,1.0162484924154902299,0.9146236429560592086
Bands Out,,Mori Briscoe featuring Lee Bands,QZNMV2173434,121,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,0.2825518366855670975,0.254296652742586965
Point Blank/No Kap,,Mori Briscoe,QZNMV2173435,104,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,0.4628716588432292115,0.4165844927943759487
Blasian,,Mori Briscoe featuring Milo Floxks,QZNMV2173436,178,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,0.3756537098240816796,0.338088338572424965
Go Crazy Pt. 2,,Mori Briscoe,QZNMV2173437,141,Blixkavelli,,Mori Briscoe,196022620590,196022620590,Mori Briscoe,USD,0.3546258855275768556,0.3191632969447382256
