WRITERS,SOURCE,TERRITORY,REVENUE_TYPE,USAGE,SONG_ID,SONG_TITLE,NOTES,CONFIG,SELECTION,UNITS,BEG_PER,End_PER,AMOUNT_RECEIVED,SHARE,ROYALTY_AMT
"STEVE CLARK\FRED MACRAE\BOB MORRISON","SONY MUSIC ENTERTAINMENT, INC.","DOMESTIC","MECHANICAL","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",1,"10/01/2017","12/31/2017",3.020000,45.000000,1.359000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - PANDORA","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",20,"09/01/2016","12/31/2017",.007883,45.000000,.003547
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","277834216",13,"07/01/2015","09/30/2015",.001290,22.000000,.000284
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","77673614",2,"07/01/2015","09/30/2015",.000198,22.000000,.000044
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Are You On The Road To Lovin'\\DEBBY BOONE\US2R30610162","","495.168.623",4,"07/01/2017","07/31/2017",.003482,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Are You On The Road To Lovin'\\DEBBY BOONE\US2R30610162","","495.174.822",36,"04/01/2017","06/30/2017",.026698,20.500000,.005473
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Are You On The Road To Lovin'\\DEBBY BOONE\US2R30610162","","501.496.978",18,"08/01/2017","08/31/2017",.013930,20.500000,.002856
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Are You On The Road To Lovin'\\DEBBY BOONE\US2R30610162","","518.722.261",14,"07/01/2017","09/30/2017",.010447,20.500000,.002142
"DEBBIE HUPP\BOB MORRISON","PRS","UK","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Alliance Amazon Prime United Kingdom Limited Download / On Demand Streaming Service Single","","",1,"10/01/2014","09/30/2017",.000660,20.500000,.000135
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",30,"05/01/2013","05/31/2013",.015090,20.500000,.003093
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",8,"04/01/2013","06/30/2013",.004643,20.500000,.000952
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",9,"07/01/2013","07/31/2013",.004643,20.500000,.000952
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",6,"08/01/2013","08/31/2013",.003482,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",5,"07/01/2013","09/30/2013",.003482,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",11,"10/01/2013","10/31/2013",.005804,20.500000,.001190
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",2,"11/01/2013","11/30/2013",.001161,20.500000,.000238
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",3,"12/01/2013","12/31/2013",.002322,20.500000,.000476
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",2,"10/01/2014","10/31/2014",.001161,20.500000,.000238
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","BwuvA1qs5P",11,"11/01/2014","11/30/2014",.009286,20.500000,.001904
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",5,"07/01/2013","07/31/2013",.001160,20.500000,.000238
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",21,"08/01/2013","08/31/2013",.008125,20.500000,.001666
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",2,"07/01/2013","09/30/2013",.001160,20.500000,.000238
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",9,"02/01/2014","02/28/2014",.012769,20.500000,.002618
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",3,"03/01/2014","03/31/2014",.004644,20.500000,.000952
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",7,"04/01/2014","04/30/2014",.009287,20.500000,.001904
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",2,"05/01/2014","05/31/2014",.003483,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",2,"04/01/2014","06/30/2014",.003483,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",9,"07/01/2014","07/31/2014",.008126,20.500000,.001666
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",5,"08/01/2014","08/31/2014",.005804,20.500000,.001190
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",3,"07/01/2014","09/30/2014",.003482,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",2,"11/01/2014","11/30/2014",.001161,20.500000,.000238
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",2,"12/01/2014","12/31/2014",.001161,20.500000,.000238
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","4OLmz45XuL",3,"08/01/2014","08/31/2014",.004643,20.500000,.000952
"DEBBIE HUPP\BOB MORRISON","CURB RECORDS","DOMESTIC","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",32,"10/01/2017","12/31/2017",1.310000,22.500000,.294750
"DEBBIE HUPP\BOB MORRISON","CURB RECORDS","DOMESTIC","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",5,"10/01/2017","12/31/2017",.210000,22.500000,.047250
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","T","277834216",3,"07/01/2017","09/30/2017",.054288,22.000000,.011943
"DEBBIE HUPP\BOB MORRISON","CMRRA - ONLINE DISTRIBUTIONS","CANADA","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",0,"01/01/2013","09/30/2015",.523512,22.000000,.115173
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","T","77673614",1,"07/01/2017","09/30/2017",.026115,22.000000,.005745
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","F","",1,"07/01/2017","09/30/2017",.025855,22.000000,.005688
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",1,"08/01/2013","08/31/2013",.003482,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","117183179",1,"10/01/2013","10/31/2013",.003482,20.500000,.000714
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","77673565",1,"02/01/2014","02/28/2014",.054557,20.500000,.011184
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing RHAPSODY","","",0,"07/01/2017","09/30/2017",.011010,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-BA General - Background/Foreground TOUCHTUNES","","",0,"07/01/2017","09/30/2017",.007700,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","PRS","UK","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Alliance iTunes Ireland Permanent Download Service Single","","",1,"10/01/2014","09/30/2017",.004220,20.500000,.000865
"DEBBIE HUPP\BOB MORRISON","AMI ENTERTAINMENT / ROWE INTERNATIONAL","DOMESTIC","DIGJUKEBOX","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",3,"10/01/2017","12/31/2017",.008100,22.500000,.001823
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IN General - Internet Streaming APPLE SUBSCRIPTION","","",0,"07/01/2017","09/30/2017",.094600,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing AMAZON PRIME MUSIC","","",0,"07/01/2017","09/30/2017",.058710,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing SPOTIR","","",0,"07/01/2017","09/30/2017",.049140,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos YOUTUBE - AUDIO PERFORMANCES","","",0,"07/01/2017","09/30/2017",.047080,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing SPOTIFY - ADDITIONAL INTERIM FEES","","",0,"07/01/2017","09/30/2017",.029080,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing GROVIR","","",0,"07/01/2017","09/30/2017",.019150,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing IHEART FREE","","",0,"07/01/2017","09/30/2017",.014140,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","PRS","UK","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Alliance iTunes United Kingdom Permanent Download Service Single","","",1,"10/01/2014","09/30/2017",.019517,20.500000,.004001
"DEBBIE HUPP\BOB MORRISON","TOUCHTUNES DIGITAL JUKEBOX, INC.","CANADA","DIGJUKEBOX","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",13,"10/01/2017","12/31/2017",.048800,22.000000,.010736
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - SLACKER","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",5,"10/01/2009","09/30/2017",.009412,22.500000,.002118
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-2R3-06-10162",65,"04/01/2013","09/30/2017",.006470,22.500000,.001456
"DEBBIE HUPP\BOB MORRISON","WARNER MUSIC GROUP","DOMESTIC","MECHANICAL","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",0,"10/01/2017","12/31/2017",.000000,22.500000,.000000
"DEBBIE HUPP\BOB MORRISON","CMRRA - SPOTIFY CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","F","",19,"07/01/2017","09/30/2017",.003544,22.000000,.000780
"DEBBIE HUPP\BOB MORRISON","CMRRA - CPCC (PRIVATE COPY)","CANADA","MECHANICAL","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",8,"01/01/2003","12/31/2009",.127153,22.000000,.027974
"DEBBIE HUPP\BOB MORRISON","CMRRA - CPCC (PRIVATE COPY)","CANADA","FORPERFORM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",2,"01/01/2000","12/31/2002",.007559,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","SOCAN","CANADA","FORPERFORM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",0,"04/01/2017","06/30/2017",.209019,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","SOCAN","CANADA","FORPERFORM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",0,"04/01/2017","06/30/2017",.056274,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On The Road To Lovin' Me Again","F","807333c63539878db06b",4,"07/01/2017","09/30/2017",.000930,22.000000,.000205
"DEBBIE HUPP\BOB MORRISON","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On The Road To Lovin' Me Again","F","38ba2fd5114e18344c9b",47,"07/01/2017","09/30/2017",.010887,22.000000,.002395
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","77673614",59,"07/01/2017","09/30/2017",.029924,22.000000,.006583
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","277834216",51,"07/01/2017","09/30/2017",.022105,22.000000,.004863
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","277834216",42,"04/01/2017","06/30/2017",.018541,22.000000,.004079
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","77673614",42,"04/01/2017","06/30/2017",.021878,22.000000,.004813
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","77673614",43,"01/01/2017","03/31/2017",.021598,22.000000,.004752
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","","277834216",55,"01/01/2017","03/31/2017",.025243,22.000000,.005553
