title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17428 ","Amy Rigby","DIGI","06/19 - 06/19","0.0","20","0.01","50.0","0.01",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17431 ","Amy Rigby","DIGI","07/19 - 07/19","0.0","40","0.02","50.0","0.01",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17434 ","Amy Rigby","DIGI","08/19 - 08/19","0.0","24","0.01","50.0","0.01",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17437 ","Amy Rigby","DIGI","09/19 - 09/19","0.0","20","0.01","50.0","0.0",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17440 ","Amy Rigby","DIGI","10/19 - 10/19","0.0","53","0.02","50.0","0.01",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17443 ","Amy Rigby","DIGI","11/19 - 11/19","0.0","71","0.03","50.0","0.01",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17446 ","Amy Rigby","DIGI","12/19 - 12/19","0.0","33","0.01","50.0","0.0",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17929 ","Amy Rigby","MECH","01/20 - 01/20","0.0","92","0.04","50.0","0.02",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17930 ","Amy Rigby","MECH","02/20 - 02/20","0.0","238","0.11","50.0","0.05",
"20 Questions","Amy Rigby","Spotify USA, Inc. - USA","17931 ","Amy Rigby","MECH","03/20 - 03/20","0.0","64","0.03","50.0","0.01",
"20 Questions","Amy Rigby","The Orchard Enterprises, Inc. - USA","17393 ","Amy Rigby","DIGI","03/19 - 03/19","0.0","4","0.32","50.0","0.16",
"20 Questions","Amy Rigby","The Orchard Enterprises, Inc. - USA","17395 ","Amy Rigby","DIGI","05/19 - 05/19","0.0","1","0.08","50.0","0.04",
"20 Questions","Amy Rigby","The Orchard Enterprises, Inc. - USA","17396 ","Amy Rigby","DIGI","06/19 - 06/19","0.0","1","0.08","50.0","0.04",
"20 Questions","Amy Rigby","The Orchard Enterprises, Inc. - USA","17397 ","Amy Rigby","DIGI","07/19 - 07/19","0.0","4","0.32","50.0","0.16",
"20 Questions","Amy Rigby","The Orchard Enterprises, Inc. - USA","17400 ","Amy Rigby","DIGI","10/19 - 10/19","0.0","1","0.09","50.0","0.05",
"20 Questions","Amy Rigby","The Orchard Enterprises, Inc. - USA","17402 ","Amy Rigby","DIGI","12/19 - 12/19","0.0","3","0.23","50.0","0.11",
"20 Questions","Amy Rigby","Tidal - USA","17524 ","Tidal - Premium","DIGI","03/20 - 03/20","0.0","8","0.01","50.0","0.0",
"20 Questions","Amy Rigby","Tidal - USA","17584 ","Tidal - Premium","DIGI","05/20 - 05/20","0.0","7","0.01","50.0","0.0",
"20th Anniversary","Amy Rigby","CMRRA - Canada","17264 ","Emusic","DIGI","07/17 - 09/17","0.0","0","0.01","50.0","0.0",
"All I Want","Amy Rigby","AMCOS - Australia","17105 ","","DIGI","00/ 0 - 03/19","0.0","2","0.07","50.0","0.04",
"All I Want","Amy Rigby","AMCOS - Australia","17106 ","","DIGI","00/ 0 - 06/19","0.0","1","0.03","50.0","0.01",
"All I Want","Amy Rigby","AMCOS - Australia","17223 ","","DIGI","00/ 0 - 09/19","0.0","1","0.03","50.0","0.01",
"All I Want","Amy Rigby","AMI Entertainment, Inc. - USA","17362 ","Ronnie Spector","DIGI","01/19 - 03/19","0.0","1","0.01","50.0","0.0",
"All I Want","Amy Rigby","AMI Entertainment, Inc. - USA","17363 ","Ronnie Spector","DIGI","04/19 - 06/19","0.0","1","0.01","50.0","0.0",
"All I Want","Amy Rigby","AMI Entertainment, Inc. - USA","17364 ","Ronnie Spector","DIGI","07/19 - 09/19","0.0","2","0.01","50.0","0.01",
"All I Want","Amy Rigby","Amazon Music Unlimited - USA","17116 ","Amazon Music","DIGI","12/19 - 12/19","0.0","16","0.02","50.0","0.01",
"All I Want","Amy Rigby","Amazon Music Unlimited - USA","17129 ","Amazon Music","DIGI","01/20 - 01/20","0.0","60","0.09","50.0","0.05",
"All I Want","Amy Rigby","Amazon Music Unlimited - USA","17532 ","Amazon Music","DIGI","02/20 - 02/20","0.0","64","0.11","50.0","0.05",
"All I Want","Amy Rigby","Amazon Music Unlimited - USA","17581 ","Amazon Music","DIGI","03/20 - 03/20","0.0","35","0.05","50.0","0.03",
"All I Want","Amy Rigby","Amazon Music Unlimited - USA","17582 ","Amazon Music","DIGI","04/20 - 04/20","0.0","22","0.03","50.0","0.02",
"All I Want","Amy Rigby","Amazon Music Unlimited - USA","18035 ","","DIGI","05/20 - 05/20","0.0","1","0.0","50.0","0.0",
"All I Want","Amy Rigby","Amazon Music Unlimited - USA","18035 ","Amy Rigby","DIGI","05/20 - 05/20","0.0","14","0.02","50.0","0.01",
"All I Want","Amy Rigby","Apple, Inc. - USA","17309 ","Amy Rigby","DIGI","10/19 - 12/19","0.0","214","0.09","50.0","0.05",
"All I Want","Amy Rigby","Apple, Inc. - USA","17309 ","Ronnie Spector","DIGI","10/19 - 12/19","0.0","447","0.22","50.0","0.11",
"All I Want","Amy Rigby","Apple, Inc. - USA","17934 ","Amy Rigby","MECH","01/20 - 03/20","0.0","661","0.29","50.0","0.15",
"All I Want","Amy Rigby","Apple, Inc. - USA","17934 ","Ronnie Spector","MECH","01/20 - 03/20","0.0","492","0.24","50.0","0.12",
"All I Want","Amy Rigby","CMRRA - Canada","17264 ","Apple","DIGI","07/17 - 09/17","0.0","0","0.53","50.0","0.26",
"All I Want","Amy Rigby","CMRRA - Canada","17264 ","Emusic","DIGI","07/17 - 09/17","0.0","0","0.08","50.0","0.04",
"All I Want","Amy Rigby","CMRRA - Canada","17264 ","Napster Llc","DIGI","07/17 - 09/17","0.0","0","0.01","50.0","0.0",
"All I Want","Amy Rigby","Google, Inc. - USA","17221 ","Amy Rigby","DIGI","10/19 - 12/19","0.0","65","0.07","50.0","0.04",
"All I Want","Amy Rigby","Google, Inc. - USA","17221 ","Ronnie Spector","DIGI","10/19 - 12/19","0.0","16","0.02","50.0","0.01",
"All I Want","Amy Rigby","Google, Inc. - YouTube - USA","17464 ","","DIGI","10/19 - 12/19","0.0","18","0.02","50.0","0.01",
"All I Want","Amy Rigby","IHEART Communications - USA","17131 ","iheart Plus","DIGI","01/20 - 01/20","0.0","4,208","0.03","50.0","0.01",
"All I Want","Amy Rigby","IHEART Communications - USA","17131 ","iheart Premium","DIGI","01/20 - 01/20","0.0","106","0.0","50.0","0.0",
"All I Want","Amy Rigby","Music Reports, Inc. - USA","17006 ","Pandora Plus","DIGI","12/19 - 12/19","0.0","9","0.0","50.0","0.0",
"All I Want","Amy Rigby","Music Reports, Inc. - USA","17006 ","Pandora","DIGI","12/19 - 12/19","0.0","2","0.0","50.0","0.0",
"All I Want","Amy Rigby","Music Reports, Inc. - USA","17008 ","Hoopla","DIGI","12/19 - 12/19","0.0","3","0.01","50.0","0.01",
"All I Want","Amy Rigby","Music Reports, Inc. - USA","17014 ","Amazon Music","DIGI","11/19 - 11/19","0.0","19","0.02","50.0","0.01",
"All I Want","Amy Rigby","Music Reports, Inc. - USA","17016 ","Tidal - Premium","DIGI","01/19 - 01/19","0.0","22","0.02","50.0","0.01",
"All I Want","Amy Rigby","Pandora - USA","17133 ","Pandora Plus","DIGI","01/20 - 01/20","0.0","11","0.0","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17133 ","Pandora","DIGI","01/20 - 01/20","0.0","9","0.01","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17133 ","Pandora","DIGI","01/20 - 01/20","0.0","2","0.0","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17523 ","Pandora Plus","DIGI","02/20 - 02/20","0.0","19","0.01","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17523 ","Pandora","DIGI","02/20 - 02/20","0.0","7","0.0","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17536 ","Pandora Plus","DIGI","03/20 - 03/20","0.0","9","0.0","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17536 ","Pandora","DIGI","03/20 - 03/20","0.0","4","0.0","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17583 ","Pandora Plus","DIGI","04/20 - 04/20","0.0","5","0.0","50.0","0.0",
"All I Want","Amy Rigby","Pandora - USA","17583 ","Pandora","DIGI","04/20 - 04/20","0.0","1","0.0","50.0","0.0",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17424 ","Ronnie Spector","DIGI","04/19 - 04/19","0.0","83","0.03","50.0","0.01",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17426 ","Amy Rigby","DIGI","05/19 - 05/19","0.0","31","0.01","50.0","0.0",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17426 ","Ronnie Spector","DIGI","05/19 - 05/19","0.0","168","0.07","50.0","0.03",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17428 ","Amy Rigby","DIGI","06/19 - 06/19","0.0","40","0.02","50.0","0.01",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17428 ","Ronnie Spector","DIGI","06/19 - 06/19","0.0","96","0.04","50.0","0.02",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17431 ","Amy Rigby","DIGI","07/19 - 07/19","0.0","32","0.01","50.0","0.01",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17431 ","Ronnie Spector","DIGI","07/19 - 07/19","0.0","122","0.06","50.0","0.03",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17434 ","Amy Rigby","DIGI","08/19 - 08/19","0.0","36","0.01","50.0","0.01",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17434 ","Ronnie Spector","DIGI","08/19 - 08/19","0.0","124","0.05","50.0","0.03",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17437 ","Amy Rigby","DIGI","09/19 - 09/19","0.0","50","0.02","50.0","0.01",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17437 ","Ronnie Spector","DIGI","09/19 - 09/19","0.0","169","0.07","50.0","0.03",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17440 ","Amy Rigby","DIGI","10/19 - 10/19","0.0","125","0.04","50.0","0.02",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17440 ","Ronnie Spector","DIGI","10/19 - 10/19","0.0","195","0.07","50.0","0.04",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17443 ","Amy Rigby","DIGI","11/19 - 11/19","0.0","77","0.04","50.0","0.02",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17443 ","Ronnie Spector","DIGI","11/19 - 11/19","0.0","161","0.06","50.0","0.03",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17446 ","Amy Rigby","DIGI","12/19 - 12/19","0.0","58","0.02","50.0","0.01",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17446 ","Ronnie Spector","DIGI","12/19 - 12/19","0.0","135","0.05","50.0","0.03",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17929 ","Amy Rigby","MECH","01/20 - 01/20","0.0","271","0.12","50.0","0.06",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17929 ","Ronnie Spector","MECH","01/20 - 01/20","0.0","158","0.07","50.0","0.04",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17930 ","Amy Rigby","MECH","02/20 - 02/20","0.0","349","0.16","50.0","0.08",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17930 ","Ronnie Spector","MECH","02/20 - 02/20","0.0","108","0.05","50.0","0.03",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17931 ","Amy Rigby","MECH","03/20 - 03/20","0.0","100","0.04","50.0","0.02",
"All I Want","Amy Rigby","Spotify USA, Inc. - USA","17931 ","Ronnie Spector","MECH","03/20 - 03/20","0.0","85","0.04","50.0","0.02",
"All I Want","Amy Rigby","Tidal - USA","17524 ","Tidal - Premium","DIGI","03/20 - 03/20","0.0","15","0.01","50.0","0.01",
"All I Want","Amy Rigby","Tidal - USA","17584 ","Tidal - Premium","DIGI","05/20 - 05/20","0.0","9","0.01","50.0","0.0",
"All I Want","Amy Rigby","XUS International Publishing - Germany","18121 ","Apple Music","DIGI","07/19 - 12/19","0.0","24","0.01","50.0","0.01",
"All I Want","Amy Rigby","XUS International Publishing - Germany","18121 ","Ronnie Spector","DIGI","07/19 - 12/19","0.0","1","0.08","50.0","0.04",
"Always With Me","Amy Rigby","Amazon Music Free Tier - USA","17521 ","Ad-supported","DIGI","01/20 - 01/20","0.0","3","0.0","50.0","0.0",
"Always With Me","Amy Rigby","Amazon Music Unlimited - USA","17116 ","Amazon Music","DIGI","12/19 - 12/19","0.0","3","0.0","50.0","0.0",
"Always With Me","Amy Rigby","Amazon Music Unlimited - USA","17129 ","Amazon Music","DIGI","01/20 - 01/20","0.0","32","0.05","50.0","0.03",
"Always With Me","Amy Rigby","Amazon Music Unlimited - USA","17532 ","Amazon Music","DIGI","02/20 - 02/20","0.0","41","0.07","50.0","0.03",
"Always With Me","Amy Rigby","Amazon Music Unlimited - USA","17581 ","Amazon Music","DIGI","03/20 - 03/20","0.0","23","0.04","50.0","0.02",
"Always With Me","Amy Rigby","Amazon Music Unlimited - USA","17582 ","Amazon Music","DIGI","04/20 - 04/20","0.0","9","0.01","50.0","0.01",
"Always With Me","Amy Rigby","Amazon Music Unlimited - USA","18035 ","","DIGI","05/20 - 05/20","0.0","6","0.01","50.0","0.0",
"Always With Me","Amy Rigby","Amazon Prime Music - USA","17112 ","Amazon Prime","DIGI","12/19 - 12/19","0.0","2","0.0","50.0","0.0",
"Always With Me","Amy Rigby","Amazon Prime Music - USA","17114 ","Amazon Prime","DIGI","11/19 - 11/19","0.0","9","0.01","50.0","0.01",
"Always With Me","Amy Rigby","Amazon Prime Music - USA","17130 ","Amazon Prime","DIGI","01/20 - 01/20","0.0","42","0.07","50.0","0.04",
"Always With Me","Amy Rigby","Amazon Prime Music - USA","17534 ","Amazon Prime","DIGI","02/20 - 02/20","0.0","38","0.07","50.0","0.04",
"Always With Me","Amy Rigby","Amazon Prime Music - USA","17571 ","Amazon Prime","DIGI","03/20 - 03/20","0.0","36","0.06","50.0","0.03",
"Always With Me","Amy Rigby","Amazon Prime Music - USA","17580 ","Amazon Prime","DIGI","04/20 - 04/20","0.0","19","0.03","50.0","0.02",
"Always With Me","Amy Rigby","Amazon Prime Music - USA","18033 ","","DIGI","05/20 - 05/20","0.0","13","0.02","50.0","0.01",
"Always With Me","Amy Rigby","Apple, Inc. - USA","17309 ","Amy Rigby","DIGI","10/19 - 12/19","0.0","70","0.03","50.0","0.02",
"Always With Me","Amy Rigby","Apple, Inc. - USA","17934 ","Amy Rigby","MECH","01/20 - 03/20","0.0","438","0.17","50.0","0.09",
"Always With Me","Amy Rigby","CMRRA - Canada","17264 ","Apple","DIGI","07/17 - 09/17","0.0","0","0.16","50.0","0.08",
"Always With Me","Amy Rigby","CMRRA - Canada","17264 ","Emusic","DIGI","07/17 - 09/17","0.0","0","0.01","50.0","0.0",
"Always With Me","Amy Rigby","Google, Inc. - YouTube - USA","17464 ","","DIGI","10/19 - 12/19","0.0","5","0.01","50.0","0.0",
"Always With Me","Amy Rigby","Music Reports, Inc. - USA","17014 ","Amazon Music","DIGI","11/19 - 11/19","0.0","15","0.02","50.0","0.01",
"Always With Me","Amy Rigby","Pandora - USA","17133 ","Pandora","DIGI","01/20 - 01/20","0.0","1","0.0","50.0","0.0",
"Always With Me","Amy Rigby","Pandora - USA","17536 ","Pandora","DIGI","03/20 - 03/20","0.0","1","0.0","50.0","0.0",
"Always With Me","Amy Rigby","Pandora - USA","18039 ","Amy Rigby","DIGI","05/20 - 05/20","0.0","1","0.0","50.0","0.0",
"Always With Me","Amy Rigby","Tidal - USA","17524 ","Tidal - Premium","DIGI","03/20 - 03/20","0.0","2","0.0","50.0","0.0",
"Always With Me","Amy Rigby","CMRRA - Canada","17264 ","Emusic","DIGI","07/17 - 09/17","0.0","0","0.01","50.0","0.0",
"As Is","Amy Rigby","CMRRA - Canada","17264 ","Emusic","DIGI","07/17 - 09/17","0.0","0","0.01","50.0","0.0",
"Balls","Amy Rigby","AMI Entertainment, Inc. - USA","17362 ","Amy Rigby","DIGI","01/19 - 03/19","0.0","1","0.01","50.0","0.0",
"Balls","Amy Rigby","Amazon Music Unlimited - USA","17116 ","Amazon Music","DIGI","12/19 - 12/19","0.0","12","0.01","50.0","0.01",
"Balls","Amy Rigby","Amazon Music Unlimited - USA","17129 ","Amazon Music","DIGI","01/20 - 01/20","0.0","41","0.06","50.0","0.03",
"Balls","Amy Rigby","Amazon Music Unlimited - USA","17532 ","Amazon Music","DIGI","02/20 - 02/20","0.0","22","0.04","50.0","0.02",
"Balls","Amy Rigby","Amazon Music Unlimited - USA","17581 ","Amazon Music","DIGI","03/20 - 03/20","0.0","13","0.02","50.0","0.01",
"Balls","Amy Rigby","Amazon Music Unlimited - USA","17582 ","Amazon Music","DIGI","04/20 - 04/20","0.0","11","0.02","50.0","0.01",
"Balls","Amy Rigby","Amazon Music Unlimited - USA","18035 ","Amy Rigby","DIGI","05/20 - 05/20","0.0","9","0.01","50.0","0.01",
"Balls","Amy Rigby","Apple, Inc. - USA","17309 ","Amy Rigby","DIGI","10/19 - 12/19","0.0","142","0.06","50.0","0.03",
"Balls","Amy Rigby","Apple, Inc. - USA","17934 ","Amy Rigby","MECH","01/20 - 03/20","0.0","461","0.21","50.0","0.11",
"Balls","Amy Rigby","CMRRA - Canada","17264 ","Apple","DIGI","07/17 - 09/17","0.0","0","0.27","50.0","0.14",
"Balls","Amy Rigby","CMRRA - Canada","17264 ","Emusic","DIGI","07/17 - 09/17","0.0","0","0.07","50.0","0.03",
"Balls","Amy Rigby","Google, Inc. - USA","17221 ","Amy Rigby","DIGI","10/19 - 12/19","0.0","25","0.02","50.0","0.01",
"Balls","Amy Rigby","Google, Inc. - YouTube - USA","17464 ","","DIGI","10/19 - 12/19","0.0","83","0.01","50.0","0.01",
"Balls","Amy Rigby","IHEART Communications - USA","17131 ","iheart Plus","DIGI","01/20 - 01/20","0.0","1","0.0","50.0","0.0",
"Balls","Amy Rigby","IHEART Communications - USA","17131 ","iheart Premium","DIGI","01/20 - 01/20","0.0","5","0.0","50.0","0.0",
"Balls","Amy Rigby","Music Reports, Inc. - USA","17006 ","Pandora Plus","DIGI","12/19 - 12/19","0.0","13","0.0","50.0","0.0",
"Balls","Amy Rigby","Music Reports, Inc. - USA","17006 ","Pandora","DIGI","12/19 - 12/19","0.0","5","0.0","50.0","0.0",
"Balls","Amy Rigby","Music Reports, Inc. - USA","17008 ","Hoopla","DIGI","12/19 - 12/19","0.0","2","0.01","50.0","0.0",
"Balls","Amy Rigby","Music Reports, Inc. - USA","17014 ","Amazon Music","DIGI","11/19 - 11/19","0.0","20","0.03","50.0","0.01",
"Balls","Amy Rigby","Music Reports, Inc. - USA","17016 ","Tidal - Premium","DIGI","01/19 - 01/19","0.0","6","0.0","50.0","0.0",
"Balls","Amy Rigby","Pandora - USA","17133 ","Pandora Plus","DIGI","01/20 - 01/20","0.0","29","0.01","50.0","0.01",
"Balls","Amy Rigby","Pandora - USA","17133 ","Pandora","DIGI","01/20 - 01/20","0.0","21","0.01","50.0","0.01",
"Balls","Amy Rigby","Pandora - USA","17133 ","Pandora","DIGI","01/20 - 01/20","0.0","8","0.0","50.0","0.0",
"Balls","Amy Rigby","Pandora - USA","17523 ","Pandora Plus","DIGI","02/20 - 02/20","0.0","29","0.01","50.0","0.01",
"Balls","Amy Rigby","Pandora - USA","17523 ","Pandora","DIGI","02/20 - 02/20","0.0","21","0.01","50.0","0.01",
"Balls","Amy Rigby","Pandora - USA","17523 ","Pandora","DIGI","02/20 - 02/20","0.0","1","0.0","50.0","0.0",
"Balls","Amy Rigby","Pandora - USA","17536 ","Pandora Plus","DIGI","03/20 - 03/20","0.0","17","0.01","50.0","0.0",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17426 ","Amy Rigby","DIGI","05/19 - 05/19","0.0","22","0.01","50.0","0.0",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17428 ","Amy Rigby","DIGI","06/19 - 06/19","0.0","31","0.01","50.0","0.01",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17431 ","Amy Rigby","DIGI","07/19 - 07/19","0.0","31","0.01","50.0","0.01",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17434 ","Amy Rigby","DIGI","08/19 - 08/19","0.0","24","0.01","50.0","0.01",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17437 ","Amy Rigby","DIGI","09/19 - 09/19","0.0","44","0.02","50.0","0.01",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17440 ","Amy Rigby","DIGI","10/19 - 10/19","0.0","69","0.03","50.0","0.01",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17443 ","Amy Rigby","DIGI","11/19 - 11/19","0.0","70","0.03","50.0","0.01",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17446 ","Amy Rigby","DIGI","12/19 - 12/19","0.0","36","0.01","50.0","0.0",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17929 ","Amy Rigby","MECH","01/20 - 01/20","0.0","138","0.06","50.0","0.03",
"Balls","Amy Rigby","Spotify USA, Inc. - USA","17930 ","Amy Rigby","MECH","02/20 - 02/20","0.0","184","0.09","50.0","0.04",
