"Date","Order ID","Type","Detail","Item ID","Document","Price","AU RWT","US RWT","US BWT","Sales Tax Amount","Sales Tax Type","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2020-12-29 06:59:36 +1100","138727260","Sale","Bossa (Music Standard License)","19826008","IVIP41498536","25.00","","2.50","","","","22.50","AudioJungle","United States","New York","Yorktown Heights","10598"
"2020-12-29 05:45:31 +1100","138723758","Author Fee","Author Fee for sale IVIP41497612","19165703","","3.00","","","","","","-3.00","AudioJungle","","","",""
"2020-12-29 05:45:31 +1100","138723758","Sale","Wishful (Music Standard License)","19165703","IVIP41497612","24.00","","","","","","24.00","AudioJungle","Belgium","NAMUR","NAMUR","5000"
"2020-12-29 03:41:46 +1100","138717785","Author Fee","Author Fee for sale IVIP41496073","7673585","","3.75","","","","","","-3.75","AudioJungle","","","",""
"2020-12-29 03:41:46 +1100","138717785","Sale","a News Report (Music Standard License)","7673585","IVIP41496073","30.00","","","","","","30.00","AudioJungle","Israel","Israel","Rishon Letzion",""
"2020-12-29 01:14:41 +1100","138709605","Author Fee","Author Fee for sale IVIP41494088","24536311","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-29 01:14:41 +1100","138709605","Sale","Pink Panther (Music Standard License)","24536311","IVIP41494088","28.00","","","","","","28.00","AudioJungle","Saint Vincent and the Grenadines","","Kingstown","1510"
"2020-12-28 22:22:11 +1100","138701193","Author Fee","Author Fee for sale IVIP41492143","20385309","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-28 22:22:11 +1100","138701193","Sale","Slow to Uplifting (Music Standard License)","20385309","IVIP41492143","28.00","","2.80","","","","25.20","AudioJungle","United States","Minnesota","Edina","55435"
"2020-12-28 20:55:30 +1100","138696992","Author Fee","Author Fee for sale IVIP41491135","9312351","","4.38","","","","","","-4.38","AudioJungle","","","",""
"2020-12-28 20:55:30 +1100","138696992","Sale","Soft Emotional (Music Standard License)","9312351","IVIP41491135","35.00","","","","","","35.00","AudioJungle","Spain","Madrid","Madrid","28023"
"2020-12-28 07:10:08 +1100","138675548","Author Fee","Author Fee for sale IVIP41486043","19735007","","8.25","","","","","","-8.25","AudioJungle","","","",""
"2020-12-28 07:10:08 +1100","138675548","Sale","Testimonial (Music Broadcast License (1 Million))","19735007","IVIP41486043","66.00","","6.60","","","","59.40","AudioJungle","United States","Connecticut","danbury","06810"
"2020-12-28 06:21:35 +1100","138673567","Author Fee","Author Fee for sale IVIP41485681","25159321","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-28 06:21:35 +1100","138673567","Sale","This is Violin (Music Standard License)","25159321","IVIP41485681","28.00","","","","","","28.00","AudioJungle","Israel","israel","עמק חפר",""
"2020-12-28 00:04:46 +1100","138659096","Author Fee","Author Fee for sale IVIP41482561","16115720","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-28 00:04:46 +1100","138659096","Sale","Simple Piano  (Music Standard License)","16115720","IVIP41482561","32.00","","","","","","32.00","AudioJungle","Korea, Republic of","","Seoul","04072"
"2020-12-27 15:21:01 +1100","138646398","Author Fee","Author Fee for sale IVIP41480037","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-27 15:21:01 +1100","138646398","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP41480037","32.00","","3.20","","","","28.80","AudioJungle","United States","Minnesota","Eden Prairie","55347"
"2020-12-26 01:38:51 +1100","138591104","Author Fee","Author Fee for sale IVIP41468781","20697281","","20.75","","","","","","-20.75","AudioJungle","","","",""
"2020-12-26 01:38:51 +1100","138591104","Sale","Art (Music Broadcast License (10 Million))","20697281","IVIP41468781","166.00","","","","","","166.00","AudioJungle","Turkey","CANKAYA","ANKARA","06800"
"2020-12-26 01:12:09 +1100","138590384","Author Fee","Author Fee for sale IVIP41468622","19295318","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-26 01:12:09 +1100","138590384","Sale","Difficulty (Music Standard License)","19295318","IVIP41468622","25.00","","","","","","25.00","AudioJungle","China","","shenzhen",""
"2020-12-25 10:40:32 +1100","138572329","Author Fee","Author Fee for sale IVIP41464758","19323904","","29.00","","","","","","-29.00","AudioJungle","","","",""
"2020-12-25 10:40:32 +1100","138572329","Sale","Tragedy (Music Broadcast & Film License)","19323904","IVIP41464758","232.00","","23.20","","","","208.80","AudioJungle","United States","Ohio","Huron","44839"
"2020-12-25 09:01:12 +1100","138570586","Author Fee","Author Fee for sale IVIP41464319","19440995","","2.25","","","","","","-2.25","AudioJungle","","","",""
"2020-12-25 09:01:12 +1100","138570586","Sale","Finance Music (Music Standard License)","19440995","IVIP41464319","18.00","","","","","","18.00","AudioJungle","Japan","","tokyo",""
"2020-12-25 09:01:11 +1100","138570586","Author Fee","Author Fee for sale IVIP41464318","19022175","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-25 09:01:11 +1100","138570586","Sale","This is Science Background (Music Standard License)","19022175","IVIP41464318","25.00","","","","","","25.00","AudioJungle","Japan","","tokyo",""
"2020-12-25 08:44:34 +1100","138570239","Author Fee","Author Fee for sale IVIP41464247","19100784","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-25 08:44:34 +1100","138570239","Sale","Quiet Piano (Music Standard License)","19100784","IVIP41464247","32.00","","3.20","","","","28.80","AudioJungle","United States","Indiana","Carmel","46033"
"2020-12-24 22:50:54 +1100","138550256","Author Fee","Author Fee for sale IVIP41459213","18103534","","4.25","","","","","","-4.25","AudioJungle","","","",""
"2020-12-24 22:50:54 +1100","138550256","Sale","Hope Piano (Music Standard License)","18103534","IVIP41459213","34.00","","","","","","34.00","AudioJungle","Germany","","fellbach","70734"
"2020-12-24 22:37:54 +1100","138549791","Author Fee","Author Fee for sale IVIP41459114","12016155","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-24 22:37:54 +1100","138549791","Sale","Desert (Music Standard License)","12016155","IVIP41459114","32.00","","","","","","32.00","AudioJungle","United Arab Emirates","ajman","ajman","00971"
"2020-12-24 20:09:56 +1100","138543759","Author Fee","Author Fee for sale IVIP41457611","12772547","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-24 20:09:56 +1100","138543759","Sale","Casino  (Music Standard License)","12772547","IVIP41457611","32.00","","","","","","32.00","AudioJungle","Israel","","tel aviv",""
"2020-12-24 12:23:37 +1100","138531163","Author Fee","Author Fee for sale IVIP41454429","12778352","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-24 12:23:37 +1100","138531163","Sale","Quiet Music (Music Standard License)","12778352","IVIP41454429","25.00","","","","","","25.00","AudioJungle","Taiwan","Zhongzheng","Taipei","10053"
"2020-12-24 09:27:58 +1100","138526948","Author Fee","Author Fee for sale IVIP41453297","19983450","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-24 09:27:58 +1100","138526948","Sale","This is Gloomy (Music Standard License)","19983450","IVIP41453297","25.00","","2.50","","","","22.50","AudioJungle","United States","New Jersey","Rockaway","07866"
"2020-12-24 02:32:32 +1100","138507543","Author Fee","Author Fee for sale IVIP41448041","9616278","","6.88","","","","","","-6.88","AudioJungle","","","",""
"2020-12-24 02:32:32 +1100","138507543","Sale","Super Hero (Music Broadcast License (1 Million))","9616278","IVIP41448041","55.00","","5.50","","","","49.50","AudioJungle","United States","Texas","Heath","75032"
"2020-12-23 14:14:08 +1100","138476240","Author Fee","Author Fee for sale IVIP41439764","20292678","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-23 14:14:08 +1100","138476240","Sale","Enterprise (Music Standard License)","20292678","IVIP41439764","28.00","","","","","","28.00","AudioJungle","China","","上海市",""
"2020-12-23 09:22:53 +1100","138467809","Author Fee","Author Fee for sale IVIP41437533","20866951","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-23 09:22:53 +1100","138467809","Sale","from Sad to Uplifting (Music Standard License)","20866951","IVIP41437533","25.00","","2.50","","","","22.50","AudioJungle","United States","Virginia","Alexandria","22314"
"2020-12-23 07:42:45 +1100","138463714","Author Fee","Author Fee for sale IVIP41436413","11713071","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-23 07:42:45 +1100","138463714","Sale","On Hold Music (Music Standard License)","11713071","IVIP41436413","32.00","","3.20","","","","28.80","AudioJungle","United States","California","Studio City","91604"
"2020-12-23 06:30:30 +1100","138460540","Author Fee","Author Fee for sale IVIP41435525","11140503","","27.75","","","","","","-27.75","AudioJungle","","","",""
"2020-12-23 06:30:30 +1100","138460540","Sale","Happy Party (Music Broadcast & Film License)","11140503","IVIP41435525","222.00","","22.20","","","","199.80","AudioJungle","United States","Tennessee","Nashville","37203"
"2020-12-23 06:20:02 +1100","138460087","Author Fee","Author Fee for sale IVIP41435390","13929162","","2.75","","","","","","-2.75","AudioJungle","","","",""
"2020-12-23 06:20:02 +1100","138460087","Sale","Intensive Drums (Music Standard License)","13929162","IVIP41435390","22.00","","2.20","","","","19.80","AudioJungle","United States","California","Sherman Oaks","91403"
"2020-12-23 04:11:05 +1100","130417635","Sale Reversal","Reversal of This is Sexy (Music Standard License)","22384028","CNIP333193","32.00","","","","","","-32.00","AudioJungle","Russian Federation","","St Petersburg","190000"
"2020-12-23 04:11:05 +1100","130417635","Author Fee Reversal","Reversal of Author Fee for sale IVIP39097852","22384028","","4.00","","","","","","4.00","AudioJungle","","","",""
"2020-12-23 03:12:37 +1100","138449472","Author Fee","Author Fee for sale IVIP41432517","16115720","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-23 03:12:37 +1100","138449472","Sale","Simple Piano  (Music Standard License)","16115720","IVIP41432517","32.00","","","","","","32.00","AudioJungle","Germany","Sachsen","Dresden","01097"
"2020-12-22 22:55:50 +1100","138434435","Author Fee","Author Fee for sale IVIP41428640","18103534","","4.25","","","","","","-4.25","AudioJungle","","","",""
"2020-12-22 22:55:50 +1100","138434435","Sale","Hope Piano (Music Standard License)","18103534","IVIP41428640","34.00","","","","","","34.00","AudioJungle","Korea, Republic of","","Seoul",""
"2020-12-22 16:50:30 +1100","138417644","Author Fee","Author Fee for sale IVIP41424399","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-22 16:50:30 +1100","138417644","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP41424399","32.00","","","","","","32.00","AudioJungle","Taiwan","Sanchong Dist.","New Taipei City","241"
"2020-12-22 15:16:57 +1100","138415007","Author Fee","Author Fee for sale IVIP41423762","22384028","","5.63","","","","","","-5.63","AudioJungle","","","",""
"2020-12-22 15:16:57 +1100","138415007","Sale","This is Sexy (Music Broadcast License (1 Million))","22384028","IVIP41423762","45.00","","","","","","45.00","AudioJungle","Taiwan","","Taipei",""
"2020-12-22 07:44:38 +1100","138400006","Author Fee","Author Fee for sale IVIP41419821","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-22 07:44:38 +1100","138400006","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP41419821","32.00","","3.20","","","","28.80","AudioJungle","United States","Georgia","Braselton","30517"
"2020-12-22 04:34:10 +1100","138390109","Author Fee","Author Fee for sale IVIP41417122","17473309","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-22 04:34:10 +1100","138390109","Sale","Sad To Happy (Music Standard License)","17473309","IVIP41417122","28.00","","","","","","28.00","AudioJungle","Croatia","Croatia","Zagreb","10000"
"2020-12-22 02:11:54 +1100","138381354","Author Fee","Author Fee for sale IVIP41414754","10329315","","1.88","","","","","","-1.88","AudioJungle","","","",""
"2020-12-22 02:11:54 +1100","138381354","Sale","High Tech Music (Music Standard License)","10329315","IVIP41414754","15.00","","1.50","","","","13.50","AudioJungle","United States","Virginia","Reston","20190"
"2020-12-22 01:43:47 +1100","137385668","Sale Refund","Refund for News Background Music (Music Broadcast License (1 Million))","19568563","CNIP332481","44.00","","","","","","-44.00","AudioJungle","Bulgaria","","Sofia","1592"
"2020-12-22 01:43:47 +1100","137385668","Author Fee Refund","Refund of Author Fee for sale IVIP41123202","19568563","","5.50","","","","","","5.50","AudioJungle","","","",""
"2020-12-21 23:33:50 +1100","138371853","Author Fee","Author Fee for sale IVIP41412246","19281997","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-21 23:33:50 +1100","138371853","Sale","Big Motivation (Music Standard License)","19281997","IVIP41412246","32.00","","","","","","32.00","AudioJungle","Italy","Italia","venezia","30172"
"2020-12-21 22:15:41 +1100","138367912","Author Fee","Author Fee for sale IVIP41411046","28914045","","1.88","","","","","","-1.88","AudioJungle","","","",""
"2020-12-21 22:15:41 +1100","138367912","Sale","Big Band Drums (Music Standard License)","28914045","IVIP41411046","15.00","","","","","","15.00","AudioJungle","Switzerland","Switzerland","Zuerich","8047"
"2020-12-21 20:02:17 +1100","138360600","Author Fee","Author Fee for sale IVIP41409106","27733806","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-21 20:02:17 +1100","138360600","Sale","a Secret Agent (Music Standard License)","27733806","IVIP41409106","25.00","","","","","","25.00","AudioJungle","Malta","MALTA","GZIRA","GZR1633"
"2020-12-21 16:06:46 +1100","138351952","Author Fee","Author Fee for sale IVIP41407095","8413953","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-21 16:06:46 +1100","138351952","Sale","Slow Piano (Music Standard License)","8413953","IVIP41407095","32.00","","","","","","32.00","AudioJungle","Korea, Republic of","gyunggido","gyangju","207-56"
"2020-12-21 11:02:44 +1100","138344984","Author Fee","Author Fee for sale IVIP41405282","22640934","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-21 11:02:44 +1100","138344984","Sale","Happy End (Music Standard License)","22640934","IVIP41405282","32.00","","","","","","32.00","AudioJungle","Australia","Victoria","North Melbourne","3051"
"2020-12-21 04:58:00 +1100","138332437","Author Fee","Author Fee for sale IVIP41402322","8610761","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-21 04:58:00 +1100","138332437","Sale","Art Music (Music Standard License)","8610761","IVIP41402322","28.00","","","","","","28.00","AudioJungle","Korea, Republic of","","Seoul",""
"2020-12-21 02:59:20 +1100","138327313","Author Fee","Author Fee for sale IVIP41401171","20246210","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-21 02:59:20 +1100","138327313","Sale","Soothing Piano (Music Standard License)","20246210","IVIP41401171","25.00","","","","","","25.00","AudioJungle","China","Chaoyang","Beijing","100024"
"2020-12-21 02:40:34 +1100","138326509","Author Fee","Author Fee for sale IVIP41400963","20385309","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-21 02:40:34 +1100","138326509","Sale","Slow to Uplifting (Music Standard License)","20385309","IVIP41400963","28.00","","","","","","28.00","AudioJungle","Malaysia","Selangor","Telok Panglima garang","42500"
"2020-12-20 21:41:50 +1100","138315893","Author Fee","Author Fee for sale IVIP41398531","7852935","","3.00","","","","","","-3.00","AudioJungle","","","",""
"2020-12-20 21:41:50 +1100","138315893","Sale","Drum Beat (Music Standard License)","7852935","IVIP41398531","24.00","","","","","","24.00","AudioJungle","Switzerland","","Winterthur",""
"2020-12-20 11:38:48 +1100","138303280","Author Fee","Author Fee for sale IVIP41395683","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-20 11:38:48 +1100","138303280","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP41395683","32.00","","3.20","","","","28.80","AudioJungle","United States","California","San Mateo","94402"
"2020-12-20 08:58:25 +1100","138299780","Author Fee","Author Fee for sale IVIP41394815","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-20 08:58:25 +1100","138299780","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP41394815","32.00","","3.20","","","","28.80","AudioJungle","United States","Washington","Spokane Valley","99306"
"2020-12-20 00:51:16 +1100","138281564","Author Fee","Author Fee for sale IVIP41390668","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-20 00:51:16 +1100","138281564","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP41390668","32.00","","3.20","","","","28.80","AudioJungle","United States","Oklahoma","Norman","73072"
"2020-12-19 21:18:26 +1100","138274978","Author Fee","Author Fee for sale IVIP41389092","19290827","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-19 21:18:26 +1100","138274978","Sale","Sad to Inspiring (Music Standard License)","19290827","IVIP41389092","32.00","","","","","","32.00","AudioJungle","China","","青岛",""
"2020-12-19 15:58:39 +1100","138267130","Author Fee","Author Fee for sale IVIP41387350","18103534","","4.25","","","","","","-4.25","AudioJungle","","","",""
"2020-12-19 15:58:39 +1100","138267130","Sale","Hope Piano (Music Standard License)","18103534","IVIP41387350","34.00","","","","","","34.00","AudioJungle","Korea, Republic of","","Seoul",""
"2020-12-19 14:02:12 +1100","138264778","Author Fee","Author Fee for sale IVIP41386759","11476739","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-19 14:02:12 +1100","138264778","Sale","Documentary Movie (Music Standard License)","11476739","IVIP41386759","32.00","","3.20","","","","28.80","AudioJungle","United States","District of Columbia","Washington DC","20036"
"2020-12-19 12:06:36 +1100","138262565","Author Fee","Author Fee for sale IVIP41386159","19100784","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-19 12:06:36 +1100","138262565","Sale","Quiet Piano (Music Standard License)","19100784","IVIP41386159","32.00","","","","","","32.00","AudioJungle","Canada","Ontario","Toronto","M4P 1V4"
"2020-12-19 07:34:25 +1100","138254806","Author Fee","Author Fee for sale IVIP41384035","16878088","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-19 07:34:25 +1100","138254806","Sale","Fast Drums (Music Standard License)","16878088","IVIP41384035","25.00","","","","","","25.00","AudioJungle","Turkey","Kozyatağı - 4620419186","Ataşehir - İSTANBUL","34725"
"2020-12-19 06:45:18 +1100","138252766","Author Fee","Author Fee for sale IVIP41383493","7833210","","3.75","","","","","","-3.75","AudioJungle","","","",""
"2020-12-19 06:45:18 +1100","138252766","Sale","Soccer (Music Standard License)","7833210","IVIP41383493","30.00","","","","","","30.00","AudioJungle","Canada","Alberta","Edmonton","T6R2S2"
"2020-12-19 03:29:54 +1100","138243342","Author Fee","Author Fee for sale IVIP41380921","22015529","","8.25","","","","","","-8.25","AudioJungle","","","",""
"2020-12-19 03:29:54 +1100","138243342","Sale","Driving Music (Music Broadcast License (1 Million))","22015529","IVIP41380921","66.00","","","","","","66.00","AudioJungle","Mexico","mexico city","mexico city","11510"
"2020-12-19 03:15:38 +1100","138242559","Author Fee","Author Fee for sale IVIP41380694","25413925","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-19 03:15:38 +1100","138242559","Sale","Technique (Music Standard License)","25413925","IVIP41380694","25.00","","","","","","25.00","AudioJungle","France","","Lyon","69009"
"2020-12-18 21:01:42 +1100","138222984","Author Fee","Author Fee for sale IVIP41375115","18103534","","4.25","","","","","","-4.25","AudioJungle","","","",""
"2020-12-18 21:01:42 +1100","138222984","Sale","Hope Piano (Music Standard License)","18103534","IVIP41375115","34.00","","","","","","34.00","AudioJungle","Taiwan","","taipei",""
"2020-12-18 20:06:27 +1100","138220194","Author Fee","Author Fee for sale IVIP41374135","9629079","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-18 20:06:27 +1100","138220194","Sale","Magical Piano (Music Standard License)","9629079","IVIP41374135","32.00","","","","","","32.00","AudioJungle","Austria","","Rum","6063"
"2020-12-18 18:54:49 +1100","138217227","Author Fee","Author Fee for sale IVIP41373260","19568563","","8.25","","","","","","-8.25","AudioJungle","","","",""
"2020-12-18 18:54:49 +1100","138217227","Sale","News Background Music (Music Broadcast License (1 Million))","19568563","IVIP41373260","66.00","","","","","","66.00","AudioJungle","Bulgaria","","Sofia","1592"
"2020-12-18 15:11:52 +1100","138210704","Author Fee","Author Fee for sale IVIP41371424","21215350","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-18 15:11:52 +1100","138210704","Sale","Heartbreaking (Music Standard License)","21215350","IVIP41371424","25.00","","","","","","25.00","AudioJungle","China","","hangzhou",""
"2020-12-18 03:36:24 +1100","138183862","Author Fee","Author Fee for sale IVIP41363507","11152861","","3.50","","","","","","-3.50","AudioJungle","","","",""
"2020-12-18 03:36:24 +1100","138183862","Sale","Emotional Story (Music Standard License)","11152861","IVIP41363507","28.00","","2.80","","","","25.20","AudioJungle","United States","Missouri","Saint Louis","63144"
"2020-12-18 02:49:15 +1100","138180985","Author Fee","Author Fee for sale IVIP41362698","23215395","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-18 02:49:15 +1100","138180985","Sale","Become (Music Standard License)","23215395","IVIP41362698","25.00","","2.50","","","","22.50","AudioJungle","United States","Massachusetts","Watertown","02472"
"2020-12-18 01:25:08 +1100","138175838","Author Fee","Author Fee for sale IVIP41361115","19279546","","8.25","","","","","","-8.25","AudioJungle","","","",""
"2020-12-18 01:25:08 +1100","138175838","Sale","Ocean 11 (Music Broadcast License (1 Million))","19279546","IVIP41361115","66.00","","","","","","66.00","AudioJungle","Switzerland","Neuchâtel","Neuchâtel","2000"
"2020-12-17 11:49:02 +1100","138141642","Author Fee","Author Fee for sale IVIP41351840","25117409","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-17 11:49:02 +1100","138141642","Sale","Sad to Epic (Music Standard License)","25117409","IVIP41351840","25.00","","","","","","25.00","AudioJungle","Colombia","BOGOTA","BOGOTA","110221"
"2020-12-17 09:35:19 +1100","138137372","Author Fee","Author Fee for sale IVIP41350529","17780356","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-17 09:35:19 +1100","138137372","Sale","Fast & Funny (Music Standard License)","17780356","IVIP41350529","32.00","","","","","","32.00","AudioJungle","Mexico","","mexico",""
"2020-12-17 03:04:44 +1100","138117338","Author Fee","Author Fee for sale IVIP41344597","12865663","","3.13","","","","","","-3.13","AudioJungle","","","",""
"2020-12-17 03:04:44 +1100","138117338","Sale","Christmas Piano (Music Standard License)","12865663","IVIP41344597","25.00","","","","","","25.00","AudioJungle","Canada","Ontario","Vankleek Hill","K6A 1R0"
"2020-12-16 14:17:34 +1100","138080625","Author Fee","Author Fee for sale IVIP41334249","23907001","","4.00","","","","","","-4.00","AudioJungle","","","",""
"2020-12-16 14:17:34 +1100","138080625","Sale","Secret Agent (Music Standard License)","23907001","IVIP41334249","32.00","","","","","","32.00","AudioJungle","Australia","New South Wales","Sydney","2038"
