Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Usage Summary,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
30,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0009,50,01/11/2017,30/11/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
31,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.1301,50,01/08/2017,31/08/2017, , ,,00000241, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
32,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0057,50,01/09/2017,30/09/2017, , ,,00000010, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
33,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0005,50,01/12/2017,31/12/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
34,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.017,50,01/10/2017,31/10/2017, , ,,00000031, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
35,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0416,50,01/08/2017,31/08/2017, , ,,00000077, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
36,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0392,50,01/11/2017,30/11/2017, , ,,00000071, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
37,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0062,50,01/09/2017,30/09/2017, , ,,00000011, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
38,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0017,50,01/11/2017,30/11/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
39,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.1589,50,01/12/2017,31/12/2017, , ,,00000280, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
40,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0023,50,01/12/2017,31/12/2017, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
41,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.1955,50,01/10/2017,31/10/2017, , ,,00000356, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
42,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0077,50,01/11/2017,30/11/2017, , ,,00000014, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
43,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0308,50,01/08/2017,31/08/2017, , ,,00000057, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
44,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/08/2017,31/08/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
45,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.035,50,01/09/2017,30/09/2017, , ,,00000062, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
46,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0082,50,01/07/2017,31/07/2017, , ,,00000015, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
47,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0242,50,01/08/2017,31/08/2017, , ,,00000045, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
48,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0017,50,01/09/2017,30/09/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
49,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0075,50,01/08/2017,31/08/2017, , ,,00000014, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
50,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0221,50,01/11/2017,30/11/2017, , ,,00000040, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
51,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0028,50,01/11/2017,30/11/2017, , ,,00000005, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
52,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0187,50,01/10/2017,31/10/2017, , ,,00000034, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
53,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.001,50,01/12/2017,31/12/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
54,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.004,50,01/12/2017,31/12/2017, , ,,00000007, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
55,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0004,50,01/10/2017,31/10/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
56,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0006,50,01/07/2017,31/07/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
57,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0005,50,01/08/2017,31/08/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
58,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0232,50,01/12/2017,31/12/2017, , ,,00000041, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
59,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0159,50,01/07/2017,31/07/2017, , ,,00000029, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
60,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0434,50,01/10/2017,31/10/2017, , ,,00000079, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
61,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0072,50,01/10/2017,31/10/2017, , ,,00000013, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
62,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0022,50,01/09/2017,30/09/2017, , ,,00000004, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
63,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0054,50,01/08/2017,31/08/2017, , ,,00000010, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
64,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.1102,50,01/07/2017,31/07/2017, , ,,00000201, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
65,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0016,50,01/08/2017,31/08/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
66,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/08/2017,31/08/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
67,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0028,50,01/07/2017,31/07/2017, , ,,00000005, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
68,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/08/2017,31/08/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452721,EUR, , , , , 
69,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0254,50,01/09/2017,30/09/2017, , ,,00000045, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
70,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0277,50,01/11/2017,30/11/2017, , ,,00000050, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
71,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0033,50,01/10/2017,31/10/2017, , ,,00000006, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
72,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.001,50,01/11/2017,30/11/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
73,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0011,50,01/07/2017,31/07/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
74,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0493,50,01/07/2017,31/07/2017, , ,,00000090, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
75,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0477,50,01/12/2017,31/12/2017, , ,,00000084, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
76,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0005,50,01/10/2017,31/10/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
77,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.1579,50,01/11/2017,30/11/2017, , ,,00000286, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455554,EUR, , , , , 
78,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0032,50,01/07/2017,31/07/2017, , ,,00000006, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
79,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0272,50,01/12/2017,31/12/2017, , ,,00000048, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455555,EUR, , , , , 
80,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0017,50,01/10/2017,31/10/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455553,EUR, , , , , 
81,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0074,50,01/09/2017,30/09/2017, , ,,00000013, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452722,EUR, , , , , 
82,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0323,50,01/07/2017,31/07/2017, , ,,00000059, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
83,00177149937,M,2018071,Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single,Online, ,Ain't No Man,.0017,50,01/07/2017,31/07/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,452720,EUR, , , , , 
84,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.057,50,01/07/2017,30/09/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
85,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0155,50,01/07/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
86,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0172,50,01/07/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
87,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0396,50,01/10/2017,31/12/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455551,EUR, , , , , 
88,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0153,50,01/07/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
89,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0202,50,01/07/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
90,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0609,50,01/07/2017,30/09/2017, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
91,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.2458,50,01/10/2017,31/12/2017, , ,,00000016, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455551,EUR, , , , , 
92,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,1.5519,50,01/10/2017,31/12/2017, , ,,00000101, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455551,EUR, , , , , 
93,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0172,50,01/07/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
94,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0158,50,01/10/2017,31/12/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,455551,EUR, , , , , 
95,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,14.2319,50,01/07/2017,30/09/2017, , ,,00000927, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
96,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0203,50,01/07/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
97,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0396,50,01/07/2017,30/09/2017, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
98,00177149937,M,2018071,Alliance Google United Kingdom Permanent Download Service Album,Online, ,Ain't No Man,.0198,50,01/07/2017,30/09/2017, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,446082,EUR, , , , , 
