"Period","Period Description","STATEMENT FREQUENCY - 3/6","CLIENT CODE","Payee Code","SONG TITLE","SONG CODE","SCOMPNAM","SOURCE NAME","SOURCE OF INCOME CODE","INCOME TYPE : 01 - 25","PRODUCT / CATALOG NO","INCOME PERIOD - YYMM FROM &YYMM TO","DISTRIBUTION NO.","PERCENT RECEIVED BY SENDER OF MONEY","OUR SHARE - PERCENT RECEIVED BY US","FRACTION RCVD NUMERATOR","FRACTION RCVD DENOMINATOR","AMOUNT RECEIVED","UNITS SOLD","ROYALTY PAYABLE","PERCENTAGE PAYABLE","AT SOURCE RATE","COMPANY CODE","SUB CODE","ROY STMT NOTE NUMBER","Royalty Note","STAT ID, POS 1-2, YY","STAT ID, POS 3-7, 99999","ROYALTY COUNTRY CODE","SOURCE NAME" 
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"GOOGLE, INC    ",20032003  ,0     ,10.000   ,.000     ,0    ,0    ,.11              ,820      ,.08              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"GOOGLE, INC    ",20062006  ,0     ,10.000   ,.000     ,0    ,0    ,.10              ,726      ,.07              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SOUNDCLOUD LIMI",20062006  ,0     ,10.000   ,.000     ,0    ,0    ,.03              ,52       ,.02              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SPOTIFY AB     ",16121612  ,0     ,10.000   ,.000     ,0    ,0    ,1.77             ,49284    ,1.26             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SPOTIFY AB     ",17031703  ,0     ,10.000   ,.000     ,0    ,0    ,2.09             ,105717   ,1.49             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SPOTIFY AB     ",17061706  ,0     ,10.000   ,.000     ,0    ,0    ,.45              ,14631    ,.32              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SPOTIFY AB     ",17121712  ,0     ,10.000   ,.000     ,0    ,0    ,.42              ,13572    ,.30              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SPOTIFY AB     ",18031803  ,0     ,10.000   ,.000     ,0    ,0    ,.08              ,4149     ,.06              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SPOTIFY AB     ",20032003  ,0     ,10.000   ,.000     ,0    ,0    ,1.35             ,13482    ,.96              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",48  ,"SPOTIFY AB     ",20062006  ,0     ,10.000   ,.000     ,0    ,0    ,1.43             ,13971    ,1.02             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",53  ,"YOUTUBE        ",19121912  ,0     ,10.000   ,.000     ,0    ,0    ,.15              ,32751    ,.11              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",53  ,"YOUTUBE        ",20032003  ,0     ,10.000   ,.000     ,0    ,0    ,.10              ,5728     ,.07              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",53  ,"YOUTUBE        ",20062006  ,0     ,10.000   ,.000     ,0    ,0    ,.13              ,8477     ,.09              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",53  ,"YTMS           ",20062006  ,0     ,10.000   ,.000     ,0    ,0    ,.31              ,1        ,.22              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3370   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CASABLANCA                              ","CASA",53  ,"YTMS           ",20092009  ,0     ,10.000   ,.000     ,0    ,0    ,.42              ,1        ,.30              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3650   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",1   ,"               ",19011912  ,0     ,100.000  ,.000     ,0    ,0    ,.12              ,216      ,.08              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3572   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,.000     ,.000     ,0    ,0    ,.01              ,0        ,.01              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3563   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,100.000  ,.000     ,0    ,0    ,1.51             ,13440    ,1.07             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3563   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,.000     ,.000     ,0    ,0    ,.03              ,0        ,.02              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3565   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,100.000  ,.000     ,0    ,0    ,1.10             ,5574     ,.78              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3565   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,100.000  ,.000     ,0    ,0    ,.21              ,11       ,.15              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3569   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,100.000  ,.000     ,0    ,0    ,3.07             ,15418    ,2.19             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3578   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,100.000  ,.000     ,0    ,0    ,.05              ,527      ,.04              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3580   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,100.000  ,.000     ,0    ,0    ,.04              ,1061     ,.03              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3581   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CMRRA                                   ","CMRR",48  ,"               ",20072009  ,0     ,100.000  ,.000     ,0    ,0    ,.84              ,5589     ,.60              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3645   ,"CANA","CANADA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,12.500   ,0    ,0    ,.85              ,0        ,.61              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"BELG","BELGIUM                                 "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,95.000   ,0    ,0    ,2.59             ,0        ,1.85             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"CZEC","CZECH REPUBLIC                          "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,12.500   ,0    ,0    ,2.23             ,0        ,1.59             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"FRAN","FRANCE                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,25.500   ,0    ,0    ,50.07            ,0        ,35.68            ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"FRAN","FRANCE                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,25.500   ,0    ,0    ,.96              ,0        ,.68              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SPAI","SPAIN                                   "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,.15              ,0        ,.11              ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SWED","SWEDEN                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,97.500   ,0    ,0    ,6.66             ,0        ,4.75             ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SWIT","SWITZERLAND                             "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",1   ,"               ",20012003  ,0     ,.000     ,12.500   ,0    ,0    ,28.28            ,0        ,20.15            ,75.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"UKIN","UNITED KINGDOM                          "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,95.000   ,0    ,0    ,3.02             ,0        ,1.44             ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"CZEC","CZECH REPUBLIC                          "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,84.92            ,0        ,40.34            ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"DENM","DENMARK                                 "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,.78              ,0        ,.37              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"FINL","FINLAND                                 "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,1.47             ,0        ,.70              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"FRAN","FRANCE                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,12.750   ,0    ,0    ,61.67            ,0        ,29.30            ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"FRAN","FRANCE                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,95.000   ,0    ,0    ,.01              ,0        ,.01              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"HUNG","HUNGARY                                 "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,.19              ,0        ,.09              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"ICEL","ICELAND                                 "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,.000     ,0    ,0    ,8.15             ,0        ,3.87             ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"ISRA","ISRAEL                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,.53              ,0        ,.25              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"NORW","NORWAY                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,.000     ,0    ,0    ,.13              ,0        ,.06              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"RUSS","RUSSIA                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,15.09            ,0        ,7.17             ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SPAI","SPAIN                                   "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,12.750   ,0    ,0    ,.94              ,0        ,.45              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SPAI","SPAIN                                   "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,6.250    ,0    ,0    ,1.71             ,0        ,.81              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SWED","SWEDEN                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,12.500   ,0    ,0    ,.19              ,0        ,.09              ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SWED","SWEDEN                                  "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,95.000   ,0    ,0    ,23.27            ,0        ,11.06            ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"SWIT","SWITZERLAND                             "
"2020/4","OCTOBER - DECEMBER 2020          \iMaest",6  ,62456   ,62456   ,"ALIVE                                             ",956617   ,"CRAFT/LICIS/LITTLEMORE/SLOAN/SOUILLART                                          ","CTM BV                                  ","CPMH",4   ,"               ",20012003  ,0     ,.000     ,.000     ,0    ,0    ,4.37             ,0        ,2.08             ,50.000   ,.000     ,"P1",0   ,0          ,"                                                                                               ","20",3256   ,"TURK","TURKEY                                  "
