Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Usage Summary,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
11,00618760530,P,2019121,New Zealand Online,Overseas, ,Active,.02,16.67,01/01/2019,31/03/2019,STREAMING NZ-SPOTIFY [DISAGGRE, ,, , ,Greifer Rafael,Manderson Stephen Paul,McLean Andre James,Concord Copyrights,271703AN,T9214184017,271703AN, , , , , , , , 
12,00618760530,P,2019121,Croatian (HDS) General & Broadcasting,Overseas, ,Are You Getting Enough?,.07,16.67,01/01/2018,30/06/2018,GENERALNI KORISNICI, ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
13,00618760530,P,2019121,German (GEMA) Private Copying,Overseas, ,Are You Getting Enough?,2.99,16.67,01/01/2013,01/12/2013, , ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,B Unique Music,126716AN,T9107860219,126716AN, , , , , , , , 
14,00618760530,P,2019121,German (GEMA) Private Copying,Overseas, ,Are You Getting Enough?,.84,16.67,01/01/2014,31/12/2014, , ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,B Unique Music,126716AN,T9107860219,126716AN, , , , , , , , 
15,00618760530,P,2019121,Italian (SIAE) Films,Overseas, ,Are You Getting Enough?,.16,16.67,01/07/2018,31/12/2018,Junior Bake Off  , ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
16,00618760530,P,2019121,Italian (SIAE) Films,Overseas, ,Are You Getting Enough?,.16,16.67,01/07/2018,31/12/2018,Junior Bake Off  , ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
17,00618760530,P,2019121,Italian (SIAE) Films,Overseas, ,Are You Getting Enough?,.16,16.67,01/07/2018,31/12/2018,Junior Bake Off  , ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
18,00618760530,P,2019121,Italian (SIAE) Films,Overseas, ,Are You Getting Enough?,.16,16.67,01/07/2018,31/12/2018,Junior Bake Off  , ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
19,00618760530,P,2019121,Italian (SIAE) Films,Overseas, ,Are You Getting Enough?,.16,16.67,01/07/2018,31/12/2018,Junior Bake Off  , ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
20,00618760530,P,2019121,Italian (SIAE) Films,Overseas, ,Are You Getting Enough?,.16,16.67,01/07/2018,31/12/2018,Junior Bake Off  , ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
21,00618760530,P,2019121,Japanese (JASRAC) Online,Overseas, ,Are You Getting Enough?,.04,16.67,01/04/2018,30/06/2019,OTHER, ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
22,00618760530,P,2019121,Japanese (JASRAC) Online,Overseas, ,Are You Getting Enough?,.01,16.67,01/04/2018,30/06/2019,YOUTUBE(AD-SUPPORTED1), ,, , ,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
23,00618760530,P,2019121,Jukeboxes Soundnet,Other Featured Recorded, ,Are You Getting Enough?,.93,16.67,01/09/2019,30/09/2019, ,Jukeboxes Soundnet,,00000383,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
24,00618760530,P,2019121,MSB2B - Kaleidovision Ltd - Online,Online, ,Are You Getting Enough?,.01,16.67,15/11/2018,15/11/2018,Are You Getting Enough?  ,MSB2B - Kaleidovision Ltd - Online,5892866631,00000001,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
25,00618760530,P,2019121,MSB2B - Kaleidovision Ltd - Online,Online, ,Are You Getting Enough?,.02,16.67,15/08/2018,15/08/2018,Are You Getting Enough?  ,MSB2B - Kaleidovision Ltd - Online,5892866631,00000003,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
26,00618760530,P,2019121,MSB2B - Kaleidovision Ltd - Online,Online, ,Are You Getting Enough?,.01,16.67,14/02/2018,14/02/2018,Are You Getting Enough?  ,MSB2B - Kaleidovision Ltd - Online,5892866631,00000001,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
27,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,Are You Getting Enough?,.18,16.67,18/02/2015,18/02/2015,7 DIGITAL LIMITED, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,B Unique Music,126716AN,T9107860219,126716AN, , , , , , , , 
28,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,Are You Getting Enough?,.41,16.67,01/11/2013,01/11/2013,AMAZON, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,B Unique Music,126716AN,T9107860219,126716AN, , , , , , , , 
29,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,Are You Getting Enough?,.55,16.67,01/11/2013,01/11/2013,AMAZON, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,B Unique Music,126716AN,T9107860219,126716AN, , , , , , , , 
30,00618760530,P,2019121,Swiss (SUISA) Private Copying,Overseas, ,Are You Getting Enough?,.41,16.67,01/01/2011,31/12/2017,RADIO FREIBURG, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
31,00618760530,P,2019121,Swiss (SUISA) Private Copying,Overseas, ,Are You Getting Enough?,.25,16.67,01/01/2010,31/12/2015,UNKNOWN, ,, ,0,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
32,00618760530,P,2019121,UK Concerts & Stage Shows (Pre 2018),Concerts, ,Are You Getting Enough?,3.26,16.67,26/09/2017,26/09/2017,Coventry Cathedral  Coventry  Cv1 5ab  , ,7744552330, ,181,Hull Thomas Edward Percy,Kane Miles Peter,Manderson Stephen,Bucks Music Group Ltd,126716AN,T9107860219,126716AN, , , , , , , , 
33,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Astronaut,.02,5,01/01/2019,31/03/2019,STREAMING AU-APPLE MUSIC [DISA, ,, , ,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
34,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Astronaut,.01,5,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
35,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Astronaut,.01,5,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
36,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Astronaut,.01,5,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
37,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Astronaut,.02,5,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
38,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Astronaut,.02,5,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
39,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Astronaut,.02,5,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
40,00618760530,P,2019121,German (GEMA) Private Copying,Overseas, ,Astronaut,.13,5,01/01/2015,31/12/2015, , ,, ,0,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
41,00618760530,P,2019121,Small & Community Radio Services,Radio, ,Astronaut,.01,5,30/06/2019,30/06/2019,Analogy  ,Small & Community Radio Services,, ,181,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
42,00618760530,P,2019121,Small & Community Radio Services,Radio, ,Astronaut,.01,5,30/09/2019,30/09/2019,Analogy  ,Small & Community Radio Services,, ,181,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
43,00618760530,P,2019121,Small & Community Radio Services,Radio, ,Astronaut,.01,5,30/09/2019,30/09/2019,Analogy  ,Small & Community Radio Services,, ,181,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
44,00618760530,P,2019121,Swiss (SUISA) Private Copying,Overseas, ,Astronaut,.01,5,01/01/2010,31/12/2016,FETE DE LA MUSIQUE, ,, ,0,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
45,00618760530,P,2019121,UK Aerobics & Keep Fit,Other Featured Recorded, ,Astronaut,.09,5,30/09/2019,30/09/2019,Analogy  ,UK Aerobics & Keep Fit,, ,181,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
46,00618760530,P,2019121,UK Concerts & Stage Shows (Pre 2018),Concerts, ,Astronaut,.98,5,26/09/2017,26/09/2017,Coventry Cathedral  Coventry  Cv1 5ab  , ,7744552330, ,181,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
47,00618760530,P,2019121,UK General Recorded (Shops),General Recorded, ,Astronaut,.27,5,30/09/2019,30/09/2019,Analogy  ,UK General Recorded (Shops),, ,181,Einaudi Ludovico,Khan Shahid,Manderson Stephen Paul,Sande Adele Emily,086476FR,T9113621764,086476FR, , , , , , , , 
48,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.01,25,01/01/2019,31/03/2019,ONLINE AU-YTUBE MU [DISAG][PTS, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
49,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.13,25,01/01/2019,31/03/2019,STREAMING AU-APPLE MUSIC [DISA, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
50,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.04,25,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
51,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.03,25,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
52,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,At Your Inconvenience,.04,25,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
53,00618760530,P,2019121,French (SACEM) Online,Overseas, ,At Your Inconvenience,.3,25,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
54,00618760530,P,2019121,French (SACEM) Online,Overseas, ,At Your Inconvenience,.01,25,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
55,00618760530,P,2019121,French (SACEM) Online,Overseas, ,At Your Inconvenience,.01,25,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
56,00618760530,P,2019121,French (SACEM) Online,Overseas, ,At Your Inconvenience,.27,25,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
57,00618760530,P,2019121,French (SACEM) Online,Overseas, ,At Your Inconvenience,.27,25,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
58,00618760530,P,2019121,French (SACEM) Online,Overseas, ,At Your Inconvenience,.01,25,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
59,00618760530,P,2019121,German (GEMA) Private Copying,Overseas, ,At Your Inconvenience,.38,25,01/01/2012,01/12/2012, , ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP, ,088915EP, , , , , , , , 
60,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,At Your Inconvenience,.88,25,01/05/2014,01/05/2014,CABLE FRANCE CH, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
61,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,At Your Inconvenience,1.19,25,01/05/2014,01/05/2014,CABLE FRANCE CH, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
62,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,At Your Inconvenience,.26,25,27/05/2015,27/05/2015,CABLE FRANCE CHAINES DIVERSES, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
63,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,At Your Inconvenience,.04,25,26/02/2019,05/04/2019,ITUNES, ,, ,0,Jeffreys Edwin John,Manderson Stephen Paul,Morrison Jason Karl,Bucks Music Group Ltd,088915EP,T9138202683,088915EP, , , , , , , , 
64,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Avalon,.01,14.75,01/01/2019,31/03/2019,AUST DOWNLOAD (AMCOS TRANSFER), ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
65,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Avalon,.01,14.75,01/01/2019,31/03/2019,ONLINE AU-FACEBOOK [ANALOGOUS], ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
66,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Avalon,.02,14.75,01/01/2019,31/03/2019,ONLINE AU-YTUBE MU [DISAG][PTS, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
67,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Avalon,.07,14.75,01/01/2019,31/03/2019,STREAMING AU-APPLE MUSIC [DISA, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
68,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Avalon,.06,14.75,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
69,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Avalon,.07,14.75,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
70,00618760530,P,2019121,Australasian (APRA) Online,Overseas, ,Avalon,.05,14.75,01/01/2019,31/03/2019,STREAMING AU-SPOTIFY [DISAGGRE, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
71,00618760530,P,2019121,Australian (APRA) General & Broadcasting,Overseas, ,Avalon,.09,14.75,01/01/2019,31/03/2019,DMX MUSIC (NKA MOOD MEDIA), ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
72,00618760530,P,2019121,BBC Radio Kent Low Peak,Radio, ,Avalon,.09,14.75,21/09/2019,21/09/2019, ,BBC Radio Kent,,00000001,144,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
73,00618760530,P,2019121,BBC Radio Kent Low Peak,Radio, ,Avalon,.12,14.75,28/09/2019,28/09/2019, ,BBC Radio Kent,,00000001,194,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
74,00618760530,P,2019121,Croatian (HDS) General & Broadcasting,Overseas, ,Avalon,.09,14.75,01/01/2018,30/06/2018,GENERALNI KORISNICI, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
75,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Avalon,.01,14.75,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
76,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Avalon,.22,14.75,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
77,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Avalon,.01,14.75,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
78,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Avalon,.01,14.75,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
79,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Avalon,.01,14.75,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
80,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Avalon,.25,14.75,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
81,00618760530,P,2019121,French (SACEM) Online,Overseas, ,Avalon,.22,14.75,27/05/2019,05/07/2019,SPOTIFY, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
82,00618760530,P,2019121,German (GEMA) Private Copying,Overseas, ,Avalon,5.69,14.75,01/01/2012,01/12/2012, , ,, ,0,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
83,00618760530,P,2019121,Japanese (JASRAC) Online,Overseas, ,Avalon,.01,14.75,01/04/2018,30/06/2019,ITUNES(DL2), ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
84,00618760530,P,2019121,Jukeboxes Soundnet,Other Featured Recorded, ,Avalon,.88,14.75,01/09/2019,30/09/2019, ,Jukeboxes Soundnet,,00000411,0,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
85,00618760530,P,2019121,Jukeboxes Soundnet,Other Featured Recorded, ,Avalon,1.52,14.75,01/09/2019,30/09/2019, ,Jukeboxes Soundnet,,00000709,0,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
86,00618760530,P,2019121,New Zealand General & Broadcasting,Overseas, ,Avalon,.09,14.75,01/01/2019,31/03/2019,NZ BACKGROUND MUSIC SUPPLIER-A, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
87,00618760530,P,2019121,New Zealand Online,Overseas, ,Avalon,.01,14.75,01/01/2019,31/03/2019,STREAMING NZ-SPOTIFY [DISAGGRE, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
88,00618760530,P,2019121,New Zealand Online,Overseas, ,Avalon,.01,14.75,01/01/2019,31/03/2019,STREAMING NZ-SPOTIFY [DISAGGRE, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
89,00618760530,P,2019121,New Zealand Online,Overseas, ,Avalon,.01,14.75,01/01/2019,31/03/2019,STREAMING NZ-SPOTIFY [DISAGGRE, ,, , ,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
90,00618760530,P,2019121,SACEM Tax Refund,Overseas, ,Avalon,.31,14.75,01/11/2013,01/11/2013,CABLE FRANCE CH, ,, ,0,Juby Luke,Manderson Stephen,Murray James Terence,Omer Mustafa Armando Ibrahim,090592KN,T9113436525,090592KN, , , , , , , , 
