Asset Title,Asset Version,Asset Artist,Asset ISRC,Asset Duration,Product Title,Product Version,Product Artist,Product UPC,Product Catalog Number,Product Label,Currency,Sale Net Receipts,Reported Royalty
War Time,,Mori Briscoe,QZL382036468,145,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,14.7142430110857125341,13.2428187099519531393
Homicide,,Mori Briscoe featuring Swerv Rixh,QZL382036469,199,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,12.059046348752272,10.8531417138870448
D.O.A,,Mori Briscoe featuring Chico Dinero,QZL382036470,194,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,10.7563645678572672,9.68072811111154048
Victim,,Mori Briscoe,QZL382036471,122,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,13.9891116280531528,12.59020046521783752
Mad Max,,Mori Briscoe featuring Saint Laurent Sour,QZL382036472,164,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,11.8874609722502200124,10.6987148750469862936
Warning,,Mori Briscoe,QZL382036473,172,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,11.3752954517579068124,10.2377659065839044136
Criminal,,Mori Briscoe,QZL382036474,119,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,9.1694024506400263124,8.2524622055578119636
EBK,,Mori Briscoe featuring Niko Blixky,QZL382036475,230,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,37.6420309824577745495,33.8778278841466151843
Bodies,,Mori Briscoe featuring Niko Blixky,QZL382036476,144,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,13.1911716655541298247,11.8720544990622934072
Strapped Up,,Mori Briscoe,QZL382036477,125,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,11.0146241533235376124,9.9131617380429721336
Briscoe Order,,Mori Briscoe,QZL382036478,236,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,7.7799696636792925247,7.0019726973249398372
Calm Down,,Mori Briscoe,QZL382036479,143,Death Before Dishonor,,Mori Briscoe,195188502283,195188502283,BlixkyGangEnt.,USD,9.0296683660646392124,8.1267015295099635736
They Want Me Gone Intro,,Mori Briscoe,QZMWW2068440,93,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,30.7138419260977563,27.64245773356798067
Location,,Mori Briscoe featuring Milo Floxks,QZMWW2068441,151,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,19.7652911693479014,17.78876205246311126
I'm Back,,Mori Briscoe,QZMWW2068442,108,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,14.1679920463418390557,12.7511928417824670087
They Know,,Mori Briscoe,QZMWW2068443,120,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,13.8428296760656704557,12.4585467085139152687
Let Em Have It,,Mori Briscoe featuring Breezy Blixky,QZMWW2068444,125,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,11.715628666484898,10.5440657998764082
Groupies,,Mori Briscoe,QZMWW2068445,120,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,24.3256033847837323462,21.8930430462705479793
Brush Em,,Mori Briscoe,QZMWW2068446,93,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,15.1645381684272422557,13.6480843515793298887
Started Up,,Mori Briscoe featuring Ray Mula,QZMWW2068447,191,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,12.7107169288783143,11.43964523599048287
Papa,,Mori Briscoe,QZMWW2068448,120,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,10.8383459288532323,9.75451133591790907
Score,,Mori Briscoe featuring Milo Floxks,QZMWW2068449,109,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,8.7621376614166310557,7.8859238952997798087
Shake It,,Mori Briscoe featuring Nick Blixky,QZMWW2068450,152,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,38.1085738790098268,34.29771649117884412
Get Back,,Mori Briscoe featuring Niko Blixky,QZMWW2068451,151,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,15.215126968349721,13.6936142714747489
In The Spot,,Mori Briscoe featuring Milo Floxks,QZMWW2068452,150,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,9.29882993056408,8.368946937487672
Differences,,Mori Briscoe featuring Stain Blixky,QZMWW2068453,165,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,7.6250891004230718,6.86258019039076462
UK Flow,,Mori Briscoe,QZMWW2068454,108,They Want Me Gone,,Mori Briscoe,195410717911,195410717911,BlixkyGangEnt.,USD,9.382154910089739,8.4439394190707651
