WRITERS,SOURCE,TERRITORY,REVENUE_TYPE,USAGE,SONG_ID,SONG_TITLE,NOTES,CONFIG,SELECTION,UNITS,BEG_PER,End_PER,AMOUNT_RECEIVED,SHARE,ROYALTY_AMT
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USKBW1200920",20,"11/01/2016","12/31/2018",.015370,45.000000,.006917
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - PANDORA","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",36,"09/01/2016","12/31/2018",.015690,45.000000,.007061
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",28,"11/01/2016","01/31/2019",.039060,45.000000,.017577
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USKBW1200920",22,"11/01/2016","01/31/2019",.031650,45.000000,.014243
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",1,"11/01/2016","01/31/2019",.001030,45.000000,.000464
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USKBW1200920",76,"07/01/2014","01/31/2019",.087890,45.000000,.039551
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USKBW1200920",72,"05/01/2017","02/28/2019",.095320,45.000000,.042894
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",37,"11/01/2016","02/28/2019",.057260,45.000000,.025767
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USKBW1200920",23,"11/01/2016","02/28/2019",.036770,45.000000,.016547
"STEVE CLARK\FRED MACRAE\BOB MORRISON","PRS","UK","FORPERFORM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",0,"01/01/2016","12/31/2017",.000000,.000000,.000000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","PRS","UK","MECHANICAL","","PLACEINTHE","A PLACE IN THE COUNTRY","Irish Pro Rata","","",0,"01/01/2016","12/31/2018",.228611,41.000000,.093731
"STEVE CLARK\FRED MACRAE\BOB MORRISON","PRS","UK","FORPERFORM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",0,"01/01/2017","03/31/2018",.024976,.000000,.000000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AUDIAM","DOMESTIC","SYNCH","","PLACEINTHE","A PLACE IN THE COUNTRY","YOUTUBE","","",4,"11/01/2018","11/30/2018",.000278,45.000000,.000125
"STEVE CLARK\FRED MACRAE\BOB MORRISON","AUDIAM","DOMESTIC","SYNCH","","PLACEINTHE","A PLACE IN THE COUNTRY","YOUTUBE","","",4,"12/01/2018","12/31/2018",.000207,45.000000,.000093
"STEVE CLARK\FRED MACRAE\BOB MORRISON","SONY MUSIC ENTERTAINMENT, INC.","DOMESTIC","MECHANICAL","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",1,"10/01/2018","12/31/2018",3.020000,45.000000,1.359000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","SONY MUSIC ENTERTAINMENT, INC.","DOMESTIC","MECHANICAL","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",1,"10/01/2018","12/31/2018",-3.020000,45.000000,-1.359000
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",0,"11/01/2016","02/28/2019",.001310,45.000000,.000590
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - PANDORA","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",12,"10/01/2016","02/28/2019",.007530,45.000000,.003389
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - PANDORA","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",15,"09/01/2016","01/31/2019",.007540,45.000000,.003393
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - IHEART","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",1,"12/01/2016","12/31/2018",.000760,45.000000,.000342
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - SLACKER","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",3,"08/01/2008","09/30/2018",.004130,45.000000,.001859
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - SLACKER","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","QM4TX1563112",0,"08/01/2008","09/30/2018",.000290,45.000000,.000131
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",34,"12/01/2012","12/31/2018",.001800,45.000000,.000810
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","",3,"12/01/2012","12/31/2018",.000220,45.000000,.000099
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",12,"10/01/2018","01/31/2019",.000620,45.000000,.000279
"STEVE CLARK\FRED MACRAE\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","PLACEINTHE","A PLACE IN THE COUNTRY","","","USSM19903073",16,"12/01/2012","02/28/2019",.000770,45.000000,.000347
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-ASE-05-10123",2,"11/01/2016","01/31/2019",.002470,22.500000,.000556
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","USCRB0301956",44,"11/01/2016","01/31/2019",.064750,22.500000,.014569
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-CRB-03-01956",57,"11/01/2016","01/31/2019",.078730,22.500000,.017714
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - PANDORA","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","USCRB0301956",458,"09/01/2016","12/31/2018",.176110,22.500000,.039625
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - PANDORA","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US2R30610162",33,"09/01/2016","12/31/2018",.009100,22.500000,.002048
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","USCRB0301956",54,"11/01/2016","12/31/2018",.045260,22.500000,.010184
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-ASE-05-10123",6,"11/01/2016","12/31/2018",.004680,22.500000,.001053
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-2R3-06-10162",189,"11/01/2016","12/31/2018",.165650,22.500000,.037271
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-CRB-03-01956",166,"11/01/2016","12/31/2018",.128500,22.500000,.028913
"DEBBIE HUPP\BOB MORRISON","CMRRA - AMAZON DIGITAL SERVICES","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","F","RB07D2L7BNZ",3,"10/01/2018","12/31/2018",.000503,22.000000,.000111
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","F","77673614",440,"10/01/2018","12/31/2018",.204718,22.000000,.045038
"DEBBIE HUPP\BOB MORRISON","CMRRA - YOUTUBE","CANADA","DIGVIDSTRM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",301,"10/01/2018","12/31/2018",.006121,22.000000,.001347
"DEBBIE HUPP\BOB MORRISON","CMRRA - SPOTIFY CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","F","",37,"10/01/2018","12/31/2018",.006991,22.000000,.001538
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","F","",5,"10/01/2018","12/31/2018",.194291,22.000000,.042744
"DEBBIE HUPP\BOB MORRISON","CMRRA - APPLE MUSIC CANADA","CANADA","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","T","77673614",2,"10/01/2018","12/31/2018",.050305,22.000000,.011067
"DEBBIE HUPP\BOB MORRISON","CMRRA - SPOTIFY CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE","F","",49,"10/01/2018","12/31/2018",.003153,22.000000,.000694
"DEBBIE HUPP\BOB MORRISON","CMRRA - GOOGLE INC. CANADA","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","F","a8725e1ee49b960b88fd",1242,"10/01/2018","12/31/2018",.278579,22.000000,.061287
"DEBBIE HUPP\BOB MORRISON","CMRRA - AMAZON DIGITAL SERVICES","CANADA","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","DEBBY BOONE\Are You On the Road to Lovin' Me Again","F","RB07D2L7BNZ",3,"10/01/2018","12/31/2018",.000476,22.000000,.000105
"DEBBIE HUPP\BOB MORRISON","TOUCHTUNES DIGITAL JUKEBOX, INC.","CANADA","DIGJUKEBOX","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",15,"10/01/2018","12/31/2018",.056300,22.000000,.012386
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","The Best Of Debby Boone\\DEBBY BOONE\US2R30610162","","11075817",4,"04/01/2018","04/30/2018",.003216,20.500000,.000659
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDFPERST","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","The Best Of Debby Boone\\DEBBY BOONE\US2R30610162","","11075817",4,"04/01/2018","04/30/2018",.003216,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","NCB","SCANDINAVI","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","\\DEBBY BOONE\US2R30610162","","243.093.222",4,"04/01/2018","06/30/2018",.001072,20.500000,.000220
"DEBBIE HUPP\BOB MORRISON","KODA","DENMARK","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",0,"01/01/2018","06/30/2018",.013523,20.500000,.002772
"DEBBIE HUPP\BOB MORRISON","PRS","UK","DPDDOWNLD","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Alliance Amazon United Kingdom Permanent Download Service Single","","",1,"01/01/2016","12/31/2018",.025655,20.500000,.005259
"DEBBIE HUPP\BOB MORRISON","PRS","UK","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single","","",6,"01/01/2016","12/31/2018",.006351,20.500000,.001302
"DEBBIE HUPP\BOB MORRISON","PRS","UK","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Alliance Google United Kingdom Limited Download / On Demand Streaming Service Single","","",8,"01/01/2016","12/31/2018",.005843,20.500000,.001198
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing IHEART PLUS","","",0,"07/01/2018","09/30/2018",.000560,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IN General - Internet Streaming SLACKER - WWW.SLACKER.COM","","",0,"07/01/2018","09/30/2018",.000190,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing IHEART ALL ACCESS","","",0,"07/01/2018","09/30/2018",.000190,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing IHEART FREE","","",0,"07/01/2018","09/30/2018",.002700,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos YOUTUBE MUSIC","","",0,"07/01/2018","09/30/2018",.010880,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-BA General - Background/Foreground AMI","","",0,"07/01/2018","09/30/2018",.010700,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IN General - Internet Streaming RADIONOMY","","",0,"07/01/2018","09/30/2018",.007630,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos Pandora Plus","","",0,"07/01/2018","09/30/2018",.007070,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos Pandora Premium","","",0,"07/01/2018","09/30/2018",.005770,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing ITUNIR","","",0,"07/01/2018","09/30/2018",.005770,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos YOUTUBE PREMIUM","","",0,"07/01/2018","09/30/2018",.034220,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos Pandora","","",0,"07/01/2018","09/30/2018",.033950,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-BA General - Background/Foreground TOUCHTUNES","","",0,"07/01/2018","09/30/2018",.030130,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IN General - Internet Streaming APPLE SUBSCRIPTION (FREE TRIAL)","","",0,"07/01/2018","09/30/2018",.024460,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing SPOTIR","","",0,"07/01/2018","09/30/2018",.017390,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing RHAPSODY","","",0,"07/01/2018","09/30/2018",.015440,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: RD-CO Radio - Country","","",0,"07/01/2018","09/30/2018",9.738030,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: RD-CO Radio - Country","","",0,"07/01/2018","09/30/2018",5.024800,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IN General - Internet Streaming APPLE SUBSCRIPTION","","",0,"07/01/2018","09/30/2018",.338610,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","TAIYO MUSIC INC.","JAPAN","BROADMECH","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",0,"10/01/2018","12/31/2018",.035459,22.777500,.008077
"DEBBIE HUPP\BOB MORRISON","BUMA STEMRA","HOLLAND","BROADMECH","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","81463",0,"01/01/2015","12/31/2017",.292761,20.500000,.060016
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-IS General - Internet Interactive Self-Representing AMAZON PRIME MUSIC","","",0,"07/01/2018","09/30/2018",.256960,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos Google Play Music","","",0,"07/01/2018","09/30/2018",.141450,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-AM Internet Audio and Music Videos GOOGLE PLAY MUSIC - FREE TRIAL","","",0,"07/01/2018","09/30/2018",.126570,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","ASCAP","DOMESTIC","ASCAP","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","Use: GN-ML Internet Audio  Music Video  General Entertainment YOUTUBE - AUDIO PERFORMANCES","","",0,"07/01/2018","09/30/2018",.084820,.000000,.000000
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-CRB-03-01956",14,"12/01/2012","02/28/2019",.000680,22.500000,.000153
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","US-ASE-05-10123",7,"12/01/2012","02/28/2019",.000340,22.500000,.000077
"DEBBIE HUPP\BOB MORRISON","MUSIC REPORTS, INC. - AMAZON.COM","DOMESTIC","DPDSTREAM","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","USCRB0301956",9,"12/01/2012","02/28/2019",.000280,22.500000,.000063
"DEBBIE HUPP\BOB MORRISON","WARNER MUSIC GROUP","DOMESTIC","MECHANICAL","","AREYOUONTH","ARE YOU ON THE ROAD TO LOVING ME AGAIN?","","","",2,"10/01/2018","12/31/2018",.000000,22.500000,.000000
