Record Number,CAE Number,Rights Type,Distribution (posted),Usage Narrative,Un-Notified Flag,Work Title,Amount (performance revenue),Share,Perf Start Date,Perf End Date,Prod Header,Broadcast Region,Production ID,Number of Perfs,Duration,IP1,IP2,IP3,IP4,Tunecode,ISWC,WID,Catalogue Number,Invoice Number,Currency,Works Share Transfer From,Works Share Transfer To,Old Share,New Share,Adjustment Reason
11,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0058,50,27/09/2015,, , ,,00000007, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
12,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0057,50,27/09/2015,, , ,,00000007, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
13,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0075,50,27/09/2015,, , ,,00000009, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
14,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0009,50,27/09/2015,, , ,,00000009, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
15,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.001,50,27/09/2015,, , ,,00000010, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
16,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.009,50,27/09/2015,, , ,,00000011, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
17,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0022,50,27/09/2015,, , ,,00000023, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
18,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0028,50,27/09/2015,, , ,,00000029, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
19,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.025,50,27/09/2015,, , ,,00000030, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
20,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0254,50,27/09/2015,, , ,,00000031, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
21,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0308,50,27/09/2015,, , ,,00000037, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
22,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0041,50,27/09/2015,, , ,,00000043, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
23,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0434,50,27/09/2015,, , ,,00000052, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
24,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.045,50,27/09/2015,, , ,,00000055, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
25,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0458,50,27/09/2015,, , ,,00000056, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
26,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0058,50,27/09/2015,, , ,,00000060, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
27,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0567,50,27/09/2015,, , ,,00000068, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
28,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0069,50,27/09/2015,, , ,,00000072, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
29,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0679,50,27/09/2015,, , ,,00000083, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
30,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0695,50,27/09/2015,, , ,,00000085, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
31,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.08,50,27/09/2015,, , ,,00000096, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
32,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0965,50,27/09/2015,, , ,,00000118, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
33,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0121,50,27/09/2015,, , ,,00000125, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
34,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0155,50,27/09/2015,, , ,,00000160, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
35,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0173,50,27/09/2015,, , ,,00000179, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
36,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.1592,50,27/09/2015,, , ,,00000191, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
37,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.1926,50,27/09/2015,, , ,,00000231, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
38,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.2461,50,27/09/2015,, , ,,00000301, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
39,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0418,50,27/09/2015,, , ,,00000432, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
40,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.4276,50,27/09/2015,, , ,,00000523, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
41,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0025,50,27/09/2015,, , ,,00000003, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
42,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0003,50,27/09/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
43,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0017,50,27/09/2015,, , ,,00000002, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
44,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0008,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208679,GBP, , , , , 
45,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0001,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
46,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0877,50,27/09/2015,, , ,,00000907, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208569,GBP, , , , , 
47,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0009,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
48,177149937,M,2016101,Alliance Apple Music United Kingdom Limited Download / On Demand Streaming Service Single, ,Ain't No Man,.0008,50,27/09/2015,, , ,,00000001, ,Dina Carroll,Nigel Philip Lowis, , ,7130599A,T0103372082,7130599A, ,208567,GBP, , , , , 
49,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.027,50,31/01/2012,31/01/2012, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244810,GBP, , , , , 
50,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,29/02/2012,29/02/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244812,GBP, , , , , 
51,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,29/02/2012,29/02/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244812,GBP, , , , , 
52,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,29/02/2012,29/02/2012, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244812,GBP, , , , , 
53,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.045,50,29/02/2012,29/02/2012, , ,,00000006, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244812,GBP, , , , , 
54,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,31/03/2012,31/03/2012, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244814,GBP, , , , , 
55,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,31/03/2012,31/03/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244814,GBP, , , , , 
56,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.036,50,31/03/2012,31/03/2012, , ,,00000004, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244814,GBP, , , , , 
57,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,31/08/2012,31/08/2012, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244816,GBP, , , , , 
58,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,31/08/2012,31/08/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244816,GBP, , , , , 
59,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.036,50,31/08/2012,31/08/2012, , ,,00000005, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244816,GBP, , , , , 
60,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.18,50,31/08/2012,31/08/2012, , ,,00000025, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244816,GBP, , , , , 
61,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.027,50,30/09/2012,30/09/2012, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244818,GBP, , , , , 
62,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.072,50,30/09/2012,30/09/2012, , ,,00000009, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244818,GBP, , , , , 
63,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.072,50,30/09/2012,30/09/2012, , ,,00000010, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244818,GBP, , , , , 
64,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.09,50,31/01/2015,31/01/2015, , ,,00000118, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244846,GBP, , , , , 
65,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,28/02/2015,28/02/2015, , ,,00000021, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244850,GBP, , , , , 
66,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,28/02/2015,28/02/2015, , ,,00000030, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244850,GBP, , , , , 
67,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.162,50,28/02/2015,28/02/2015, , ,,00000197, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244850,GBP, , , , , 
68,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.027,50,31/03/2015,31/03/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244860,GBP, , , , , 
69,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,31/03/2015,31/03/2015, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244860,GBP, , , , , 
70,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/03/2015,31/03/2015, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244860,GBP, , , , , 
71,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/03/2015,31/03/2015, , ,,00000008, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244860,GBP, , , , , 
72,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/03/2015,31/03/2015, , ,,00000010, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244860,GBP, , , , , 
73,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.027,50,31/03/2015,31/03/2015, , ,,00000025, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244860,GBP, , , , , 
74,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.117,50,31/03/2015,31/03/2015, , ,,00000130, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244860,GBP, , , , , 
75,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,30/04/2015,30/04/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244864,GBP, , , , , 
76,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,30/04/2015,30/04/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244864,GBP, , , , , 
77,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,30/04/2015,30/04/2015, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244864,GBP, , , , , 
78,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,30/04/2015,30/04/2015, , ,,00000006, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244864,GBP, , , , , 
79,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,30/04/2015,30/04/2015, , ,,00000012, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244862,GBP, , , , , 
80,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,30/04/2015,30/04/2015, , ,,00000022, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244862,GBP, , , , , 
81,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.081,50,30/04/2015,30/04/2015, , ,,00000105, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244862,GBP, , , , , 
82,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/05/2015,31/05/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244870,GBP, , , , , 
83,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/05/2015,31/05/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244870,GBP, , , , , 
84,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/05/2015,31/05/2015, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244870,GBP, , , , , 
85,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/05/2015,31/05/2015, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244870,GBP, , , , , 
86,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/05/2015,31/05/2015, , ,,00000014, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244868,GBP, , , , , 
87,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.09,50,31/05/2015,31/05/2015, , ,,00000109, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244868,GBP, , , , , 
88,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,30/06/2015,30/06/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244876,GBP, , , , , 
89,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,30/06/2015,30/06/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244876,GBP, , , , , 
90,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,30/06/2015,30/06/2015, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244878,GBP, , , , , 
91,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,30/06/2015,30/06/2015, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244878,GBP, , , , , 
92,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,30/06/2015,30/06/2015, , ,,00000003, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244876,GBP, , , , , 
93,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.288,50,30/09/2012,30/09/2012, , ,,00000040, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244818,GBP, , , , , 
94,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.009,50,31/10/2012,31/10/2012, , ,,00000001, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244822,GBP, , , , , 
95,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.027,50,31/10/2012,31/10/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244822,GBP, , , , , 
96,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.027,50,31/10/2012,31/10/2012, , ,,00000004, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244820,GBP, , , , , 
97,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,30/11/2012,30/11/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244830,GBP, , , , , 
98,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,30/11/2012,30/11/2012, , ,,00000005, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244834,GBP, , , , , 
99,177149937,M,2016101,Alliance Deezer United Kingdom On Demand Subs Dual Single, ,Ain't No Man,.018,50,31/12/2012,31/12/2012, , ,,00000002, ,Carroll Dina,Lowis Nigel Philip,Imagem London Limited, ,7130599A,T0103372082,7130599A, ,244836,GBP, , , , , 
